interval,symbol,endpoint,rows,start,end
4h,BTC,oi,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,BTC,liq,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,BTC,global_ls,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,BTC,top_acct,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,BTC,top_pos,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,BTC,fr,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,ETH,oi,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,ETH,liq,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,ETH,global_ls,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,ETH,top_acct,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,ETH,top_pos,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,ETH,fr,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,BNB,oi,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,BNB,liq,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,BNB,global_ls,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,BNB,top_acct,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,BNB,top_pos,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,BNB,fr,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,SOL,oi,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,SOL,liq,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,SOL,global_ls,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,SOL,top_acct,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,SOL,top_pos,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,SOL,fr,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,XRP,oi,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,XRP,liq,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,XRP,global_ls,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,XRP,top_acct,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,XRP,top_pos,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,XRP,fr,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,ADA,oi,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,ADA,liq,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,ADA,global_ls,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,ADA,top_acct,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,ADA,top_pos,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,ADA,fr,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,DOGE,oi,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,DOGE,liq,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,DOGE,global_ls,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,DOGE,top_acct,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,DOGE,top_pos,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,DOGE,fr,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,LINK,oi,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,LINK,liq,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,LINK,global_ls,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,LINK,top_acct,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,LINK,top_pos,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,LINK,fr,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,AVAX,oi,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,AVAX,liq,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,AVAX,global_ls,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,AVAX,top_acct,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,AVAX,top_pos,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,AVAX,fr,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,TRX,oi,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,TRX,liq,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,TRX,global_ls,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,TRX,top_acct,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,TRX,top_pos,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,TRX,fr,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,LTC,oi,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,LTC,liq,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,LTC,global_ls,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,LTC,top_acct,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,LTC,top_pos,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,LTC,fr,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,SUI,oi,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,SUI,liq,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,SUI,global_ls,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,SUI,top_acct,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,SUI,top_pos,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
4h,SUI,fr,1080,2025-10-26 04:00:00+00:00,2026-04-24 00:00:00+00:00
6h,BTC,oi,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,BTC,liq,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,BTC,global_ls,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,BTC,top_acct,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,BTC,top_pos,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,BTC,fr,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,ETH,oi,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,ETH,liq,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,ETH,global_ls,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,ETH,top_acct,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,ETH,top_pos,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,ETH,fr,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,BNB,oi,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,BNB,liq,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,BNB,global_ls,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,BNB,top_acct,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,BNB,top_pos,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,BNB,fr,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,SOL,oi,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,SOL,liq,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,SOL,global_ls,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,SOL,top_acct,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,SOL,top_pos,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,SOL,fr,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,XRP,oi,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,XRP,liq,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,XRP,global_ls,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,XRP,top_acct,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,XRP,top_pos,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,XRP,fr,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,ADA,oi,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,ADA,liq,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
6h,ADA,global_ls,1100,2025-07-23 06:00:00+00:00,2026-04-24 00:00:00+00:00
