symbol,rows,start,end
ADA,98784,2023-07-01,2026-04-24 23:45:00
AVAX,98784,2023-07-01,2026-04-24 23:45:00
BNB,98784,2023-07-01,2026-04-24 23:45:00
BTC,98784,2023-07-01,2026-04-24 23:45:00
DOGE,98784,2023-07-01,2026-04-24 23:45:00
ETH,98784,2023-07-01,2026-04-24 23:45:00
LINK,98784,2023-07-01,2026-04-24 23:45:00
LTC,98784,2023-07-01,2026-04-24 23:45:00
SOL,98784,2023-07-01,2026-04-24 23:45:00
SUI,98784,2023-07-01,2026-04-24 23:45:00
TRX,98784,2023-07-01,2026-04-24 23:45:00
XRP,98784,2023-07-01,2026-04-24 23:45:00
