ts,long_liq,short_liq,net_liq,total_liq,api_version,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,90618.49085168,610180.40949082,-519561.91863914,700798.9003425001,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-23T00:35:00.156797+00:00
2025-04-29 00:00:00+00:00,88664.19858484,133444.276,-44780.077415160005,222108.47458484,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-23T00:35:00.156797+00:00
2025-04-29 12:00:00+00:00,19120.12160332,567807.73252065,-548687.61091733,586927.85412397,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:04:19.839555+00:00
2025-04-30 00:00:00+00:00,66991.54373901,148415.01954,-81423.47580099001,215406.56327901,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:04:19.839555+00:00
2025-04-30 12:00:00+00:00,252032.7002,1573923.47435519,-1321890.77415519,1825956.17455519,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:04:19.839555+00:00
2025-05-01 00:00:00+00:00,85148.01324,11969.8558,73178.15744,97117.86904,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:04:19.839555+00:00
2025-05-01 12:00:00+00:00,29578.844,80983.95924,-51405.11524,110562.80324,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-02 00:00:00+00:00,121327.01322222,237105.80596892,-115778.7927467,358432.81919114,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-02 12:00:00+00:00,34136.35839868,361236.86154,-327100.50314132,395373.21993868,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-03 00:00:00+00:00,71.4058,176356.26058292,-176284.85478291998,176427.66638292,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-03 12:00:00+00:00,5375.2333,457692.12907545,-452316.89577545,463067.36237545003,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-04 00:00:00+00:00,719.8279,930361.2638184,-929641.4359184,931081.0917184,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-04 12:00:00+00:00,5643.90685,432527.02442972,-426883.11757972,438170.93127972004,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-05 00:00:00+00:00,10742.0566,642436.60058437,-631694.54398437,653178.65718437,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-05 12:00:00+00:00,60195.645,309013.49264636,-248817.84764636002,369209.13764636003,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-06 00:00:00+00:00,24170.78301361,440323.18739391,-416152.4043803,464493.97040752,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-06 12:00:00+00:00,102071.62134016,145333.7499682,-43262.128628039995,247405.37130836,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-07 00:00:00+00:00,65443.4905,81082.46018,-15638.969679999995,146525.95068,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-07 12:00:00+00:00,79017.5392756,568719.76278236,-489702.22350675997,647737.30205796,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-08 00:00:00+00:00,719800.66702401,77954.2674,641846.39962401,797754.93442401,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-08 12:00:00+00:00,873978.17386879,77415.81457,796562.35929879,951393.9884387901,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-09 00:00:00+00:00,952488.95939007,288341.99708932,664146.9623007501,1240830.9564793902,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-09 12:00:00+00:00,58360.72110238,426530.00359178,-368169.2824894,484890.72469416005,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-10 00:00:00+00:00,675670.68766496,203733.05115942,471937.63650554005,879403.7388243801,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-10 12:00:00+00:00,992900.94493566,73890.15021646,919010.7947192,1066791.09515212,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-11 00:00:00+00:00,297115.43713318,1102329.09092357,-805213.6537903901,1399444.52805675,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-11 12:00:00+00:00,170042.25146775,273442.85834268,-103400.60687492997,443485.10981043,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-12 00:00:00+00:00,2156443.34691512,358355.69172155,1798087.6551935698,2514799.03863667,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-12 12:00:00+00:00,85821.2572148,1894264.11809337,-1808442.86087857,1980085.37530817,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-13 00:00:00+00:00,17751.28537058,615364.61721734,-597613.33184676,633115.9025879201,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-13 12:00:00+00:00,359968.02883188,113869.41171786,246098.61711402002,473837.44054974,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-14 00:00:00+00:00,232935.35446203,261106.1843825,-28170.829920470016,494041.53884453,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-14 12:00:00+00:00,17671.42732316,634602.63757106,-616931.2102479,652274.06489422,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-15 00:00:00+00:00,40263.5777,1174343.8558068,-1134080.2781068,1214607.4335068,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-15 12:00:00+00:00,103733.04109059,1293862.39978563,-1190129.35869504,1397595.44087622,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-16 00:00:00+00:00,56252.7725,164012.39546349,-107759.62296349,220265.16796348998,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-16 12:00:00+00:00,33315.0116,861553.54871296,-828238.53711296,894868.56031296,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-17 00:00:00+00:00,8429.5358,621721.3942125,-613291.8584125,630150.9300124999,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-17 12:00:00+00:00,13448.92319358,582158.46668616,-568709.54349258,595607.38987974,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-18 00:00:00+00:00,117181.25854644,47332.91543,69848.34311644,164514.17397644,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-18 12:00:00+00:00,220276.67228157,2262153.35567071,-2041876.68338914,2482430.02795228,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-19 00:00:00+00:00,3563.5732,827910.49016897,-824346.91696897,831474.06336897,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-19 12:00:00+00:00,113893.9288,63031.11676171,50862.812038289994,176925.04556171,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-20 00:00:00+00:00,23096.61192,173186.85415,-150090.24223,196283.46607,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-20 12:00:00+00:00,108890.83844224,194587.629525,-85696.79108276,303478.46796724,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-21 00:00:00+00:00,53870.39208668,186312.58513254,-132442.19304585998,240182.97721922002,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-21 12:00:00+00:00,258305.33626259,602176.99345657,-343871.65719397995,860482.32971916,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-22 00:00:00+00:00,381709.60332252,163855.958,217853.64532251997,545565.56132252,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-22 12:00:00+00:00,66294.3972546,261583.99542,-195289.59816539998,327878.3926746,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-23 00:00:00+00:00,504239.06498384,1159399.51893455,-655160.45395071,1663638.5839183899,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-23 12:00:00+00:00,110130.46337212,2069338.09120862,-1959207.6278365,2179468.55458074,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-24 00:00:00+00:00,18169.30166995,107220.97802252,-89051.67635257,125390.27969247,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-24 12:00:00+00:00,18486.2526,175649.05262983,-157162.80002983,194135.30522983,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-25 00:00:00+00:00,16670.9961752,812675.62170827,-796004.6255330701,829346.61788347,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-25 12:00:00+00:00,285852.82195966,203550.69233313,82302.12962652999,489403.51429279,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-26 00:00:00+00:00,46976.71608555,41267.0142715,5709.70181405,88243.73035705,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-26 12:00:00+00:00,54219.46257972,421578.02813452,-367358.5655548,475797.49071424,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-27 00:00:00+00:00,118615.95447916,296703.20170266,-178087.2472235,415319.15618182,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-27 12:00:00+00:00,120173.99756,292147.86102875,-171973.86346875003,412321.85858875,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-28 00:00:00+00:00,15285.61556,67853.33286346,-52567.717303460005,83138.94842346001,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
2025-05-28 12:00:00+00:00,60200.50390253,579156.55595317,-518956.05205064005,639357.0598557,v3,12h,AVAX,liq,/futures/liquidation/aggregated-history,2026-04-26T00:22:11.803592+00:00
