ts,oi_open,oi_high,oi_low,oi_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,491124280.0,494458810.0,466487780.0,470023160.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:34:56.709207+00:00
2025-04-29 00:00:00+00:00,470023160.0,479786742.0,458022260.0,464630260.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:34:56.709207+00:00
2025-04-29 12:00:00+00:00,464630260.0,472974405.0,449367770.0,454299490.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:04:15.524421+00:00
2025-04-30 00:00:00+00:00,454299490.0,467878024.0,450782796.0,463353719.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:04:15.524421+00:00
2025-04-30 12:00:00+00:00,463353719.0,466322117.0,437071397.0,441817872.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:04:15.524421+00:00
2025-05-01 00:00:00+00:00,441817872.0,463818703.0,441521611.0,456057194.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:04:15.524421+00:00
2025-05-01 12:00:00+00:00,456057194.0,458505102.0,444009681.0,448628046.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:22:08.638075+00:00
2025-05-02 00:00:00+00:00,448628046.0,464639661.0,443829828.0,451743458.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:22:08.638075+00:00
2025-05-02 12:00:00+00:00,451743458.0,460676057.0,446750996.0,454946104.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:22:08.638075+00:00
2025-05-03 00:00:00+00:00,454946104.0,458516890.0,448000156.0,454014459.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:22:08.638075+00:00
2025-05-03 12:00:00+00:00,454014459.0,468969290.0,453775600.0,457895655.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:22:08.638075+00:00
2025-05-04 00:00:00+00:00,457895655.0,463310822.0,453300934.0,456316064.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:22:08.638075+00:00
2025-05-04 12:00:00+00:00,456316064.0,475418063.0,453563871.0,468179524.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:22:08.638075+00:00
2025-05-05 00:00:00+00:00,468179524.0,481233096.0,462106532.0,477171074.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:22:08.638075+00:00
2025-05-05 12:00:00+00:00,477171074.0,487670566.0,457677972.0,457677972.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:22:08.638075+00:00
2025-05-06 00:00:00+00:00,457677972.0,461939203.0,436664922.0,440604482.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:22:08.638075+00:00
2025-05-06 12:00:00+00:00,440604482.0,473240952.0,440604482.0,470443409.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:22:08.638075+00:00
2025-05-07 00:00:00+00:00,470443409.0,476951017.0,455929919.0,464552369.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:22:08.638075+00:00
2025-05-07 12:00:00+00:00,464552369.0,477542597.0,461397720.0,466638014.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:22:08.638075+00:00
2025-05-08 00:00:00+00:00,466638014.0,489957924.0,464881511.0,479547606.0,v3,12h,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-26T00:22:08.638075+00:00
