ts,top_acct_ls_ratio,top_acct_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,3.05,75.31,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:35:06.865896+00:00
2025-04-29 00:00:00+00:00,3.09,75.53,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:35:06.865896+00:00
2025-04-29 12:00:00+00:00,3.07,75.45,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:04:27.209152+00:00
2025-04-30 00:00:00+00:00,2.91,74.43,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:04:27.209152+00:00
2025-04-30 12:00:00+00:00,3.14,75.86,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:04:27.209152+00:00
2025-05-01 00:00:00+00:00,2.75,73.3,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:04:27.209152+00:00
2025-05-01 12:00:00+00:00,2.73,73.19,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-02 00:00:00+00:00,2.79,73.61,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-02 12:00:00+00:00,3.12,75.73,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-03 00:00:00+00:00,2.73,73.22,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-03 12:00:00+00:00,2.56,71.89,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-04 00:00:00+00:00,2.49,71.34,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-04 12:00:00+00:00,2.42,70.79,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-05 00:00:00+00:00,2.38,70.45,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-05 12:00:00+00:00,2.65,72.61,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-06 00:00:00+00:00,2.45,71.0,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-06 12:00:00+00:00,2.64,72.54,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-07 00:00:00+00:00,2.53,71.63,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-07 12:00:00+00:00,2.85,74.01,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-08 00:00:00+00:00,2.85,74.01,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-08 12:00:00+00:00,2.76,73.4,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-09 00:00:00+00:00,2.94,74.64,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-09 12:00:00+00:00,3.05,75.29,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-10 00:00:00+00:00,3.49,77.71,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-10 12:00:00+00:00,3.08,75.49,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-11 00:00:00+00:00,3.34,76.97,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-11 12:00:00+00:00,4.21,80.8,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-12 00:00:00+00:00,4.18,80.69,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-12 12:00:00+00:00,3.7,78.72,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-13 00:00:00+00:00,3.22,76.3,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-13 12:00:00+00:00,3.52,77.85,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-14 00:00:00+00:00,3.68,78.61,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
2025-05-14 12:00:00+00:00,3.74,78.89,v3,12h,AVAX,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:22:17.679546+00:00
