ts,fr_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-04-28 00:00:00+00:00,0.0,v3,12h,BNB,fr,/futures/fundingRate/ohlc-history,2026-04-22T21:22:44.936550+00:00
2025-04-28 12:00:00+00:00,0.0,v3,12h,BNB,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:33:03.255303+00:00
2025-04-29 00:00:00+00:00,0.0,v3,12h,BNB,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:33:03.255303+00:00
2025-04-29 12:00:00+00:00,-0.022628,v3,12h,BNB,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:01:41.580341+00:00
2025-04-30 00:00:00+00:00,0.0,v3,12h,BNB,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:01:41.580341+00:00
2025-04-30 12:00:00+00:00,-0.049785,v3,12h,BNB,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:01:41.580341+00:00
2025-05-01 00:00:00+00:00,0.0,v3,12h,BNB,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:01:41.580341+00:00
2025-05-01 12:00:00+00:00,-0.020007,v3,12h,BNB,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:20:29.665756+00:00
2025-05-02 00:00:00+00:00,-0.007022,v3,12h,BNB,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:20:29.665756+00:00
2025-05-02 12:00:00+00:00,-0.000791,v3,12h,BNB,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:20:29.665756+00:00
2025-05-03 00:00:00+00:00,0.0,v3,12h,BNB,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:20:29.665756+00:00
2025-05-03 12:00:00+00:00,-0.001776,v3,12h,BNB,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:20:29.665756+00:00
2025-05-04 00:00:00+00:00,-0.043724,v3,12h,BNB,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:20:29.665756+00:00
2025-05-04 12:00:00+00:00,-0.030375,v3,12h,BNB,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:20:29.665756+00:00
