ts,global_ls_ratio,global_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-04-28 00:00:00+00:00,1.46,59.39,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-22T21:22:33.905379+00:00
2025-04-28 12:00:00+00:00,1.61,61.66,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:32:52.963675+00:00
2025-04-29 00:00:00+00:00,1.52,60.29,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:32:52.963675+00:00
2025-04-29 12:00:00+00:00,1.49,59.78,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:01:29.015656+00:00
2025-04-30 00:00:00+00:00,1.61,61.63,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:01:29.015656+00:00
2025-04-30 12:00:00+00:00,1.55,60.82,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:01:29.015656+00:00
2025-05-01 00:00:00+00:00,1.63,61.95,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:01:29.015656+00:00
2025-05-01 12:00:00+00:00,1.58,61.27,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-02 00:00:00+00:00,1.68,62.67,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-02 12:00:00+00:00,1.69,62.86,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-03 00:00:00+00:00,1.69,62.85,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-03 12:00:00+00:00,1.78,64.04,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-04 00:00:00+00:00,1.7,63.02,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-04 12:00:00+00:00,1.75,63.63,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-05 00:00:00+00:00,1.8,64.34,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-05 12:00:00+00:00,1.76,63.8,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-06 00:00:00+00:00,1.69,62.82,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-06 12:00:00+00:00,1.76,63.8,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-07 00:00:00+00:00,1.74,63.54,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-07 12:00:00+00:00,1.63,61.96,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-08 00:00:00+00:00,1.63,61.96,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-08 12:00:00+00:00,1.59,61.38,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-09 00:00:00+00:00,1.72,63.27,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
2025-05-09 12:00:00+00:00,1.85,64.87,v3,12h,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:20:21.020093+00:00
