ts,global_ls_ratio,global_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-04-28 00:00:00+00:00,0.71,41.55,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-22T21:21:50.503708+00:00
2025-04-28 12:00:00+00:00,0.63,38.55,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:32:10.824453+00:00
2025-04-29 00:00:00+00:00,0.69,40.78,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:32:10.824453+00:00
2025-04-29 12:00:00+00:00,0.66,39.74,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-04-30 00:00:00+00:00,0.73,42.28,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-04-30 12:00:00+00:00,0.66,39.66,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-01 00:00:00+00:00,0.78,43.67,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-01 12:00:00+00:00,0.59,37.16,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-02 00:00:00+00:00,0.57,36.36,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-02 12:00:00+00:00,0.59,36.96,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-03 00:00:00+00:00,0.62,38.11,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-03 12:00:00+00:00,0.7,41.31,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-04 00:00:00+00:00,0.71,41.62,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-04 12:00:00+00:00,0.8,44.55,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-05 00:00:00+00:00,0.8,44.5,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-05 12:00:00+00:00,0.89,47.0,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-06 00:00:00+00:00,0.86,46.16,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-06 12:00:00+00:00,0.92,47.84,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-07 00:00:00+00:00,0.72,41.89,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-07 12:00:00+00:00,0.63,38.57,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-08 00:00:00+00:00,0.63,38.57,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-08 12:00:00+00:00,0.48,32.49,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-09 00:00:00+00:00,0.58,36.88,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-09 12:00:00+00:00,0.62,38.2,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-10 00:00:00+00:00,0.6,37.59,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-10 12:00:00+00:00,0.58,36.62,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-11 00:00:00+00:00,0.63,38.48,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-11 12:00:00+00:00,0.58,36.5,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-12 00:00:00+00:00,0.62,38.19,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-12 12:00:00+00:00,0.7,41.3,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-13 00:00:00+00:00,0.81,44.63,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-13 12:00:00+00:00,0.75,42.95,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-14 00:00:00+00:00,0.68,40.5,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
2025-05-14 12:00:00+00:00,0.74,42.62,v3,12h,BTC,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:00:42.888011+00:00
