ts,long_liq,short_liq,net_liq,total_liq,api_version,interval,symbol,endpoint,path,fetched_at
2025-04-28 00:00:00+00:00,20435188.40759361,16137637.53088252,4297550.876711091,36572825.93847613,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-22T21:21:47.589797+00:00
2025-04-28 12:00:00+00:00,10282891.808155,17331555.843589,-7048664.035434,27614447.651744,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-23T00:32:07.121795+00:00
2025-04-29 00:00:00+00:00,9949965.390678,3181198.830065,6768766.560613,13131164.220743,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-23T00:32:07.121795+00:00
2025-04-29 12:00:00+00:00,5642657.053914,19852699.82024424,-14210042.766330242,25495356.87415824,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-24T04:00:39.944612+00:00
2025-04-30 00:00:00+00:00,12157222.20061,3071983.42493,9085238.77568,15229205.62554,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-24T04:00:39.944612+00:00
2025-04-30 12:00:00+00:00,14530717.37865,42000645.245151,-27469927.866501,56531362.623801,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-24T04:00:39.944612+00:00
2025-05-01 00:00:00+00:00,33503034.270392,528951.535528,32974082.734864,34031985.80592,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-24T04:00:39.944612+00:00
2025-05-01 12:00:00+00:00,44939306.31048567,7753773.419934,37185532.89055167,52693079.730419666,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-02 00:00:00+00:00,6715284.04276,2623310.283149,4091973.759611,9338594.325909,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-02 12:00:00+00:00,19682134.63548607,9210272.50467475,10471862.13081132,28892407.14016082,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-03 00:00:00+00:00,161465.821058,8533567.549201,-8372101.728143,8695033.370259,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-03 12:00:00+00:00,1665401.218094,12361390.45483,-10695989.236736,14026791.672924,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-04 00:00:00+00:00,1134888.686303,12587535.55015399,-11452646.863850988,13722424.23645699,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-04 12:00:00+00:00,548946.692996,43811692.90775598,-43262746.214759976,44360639.60075198,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-05 00:00:00+00:00,7841283.35583679,29722586.377671,-21881303.02183421,37563869.73350779,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-05 12:00:00+00:00,13583124.588813,6457291.459279,7125833.129534,20040416.048092,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-06 00:00:00+00:00,1652202.2916,12079428.73652,-10427226.44492,13731631.02812,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-06 12:00:00+00:00,53461793.8836496,5773993.293143,47687800.5905066,59235787.17679261,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-07 00:00:00+00:00,30684548.095598,3391075.461486,27293472.634112,34075623.557084,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-07 12:00:00+00:00,16112116.318277,15876106.967204,236009.35107299872,31988223.285481,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-08 00:00:00+00:00,99953753.69334035,3456059.284603,96497694.40873735,103409812.97794335,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-08 12:00:00+00:00,294110979.6237523,18817733.680499,275293245.9432533,312928713.3042513,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-09 00:00:00+00:00,35832116.685622,15076890.261671,20755226.423951,50909006.947293,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-09 12:00:00+00:00,6274033.666657,7884738.233053,-1610704.5663959999,14158771.89971,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-10 00:00:00+00:00,13688378.966463,2746722.319504,10941656.646959,16435101.285967,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-10 12:00:00+00:00,43631739.4495306,2118514.53058,41513224.9189506,45750253.9801106,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-11 00:00:00+00:00,6421123.245324,16039082.34516589,-9617959.099841889,22460205.59048989,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-11 12:00:00+00:00,6384461.132904,9994666.4241247,-3610205.2912206994,16379127.5570287,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-12 00:00:00+00:00,51633531.61162099,17771441.82552714,33862089.78609385,69404973.43714812,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-12 12:00:00+00:00,11756134.66780598,119744918.02716485,-107988783.35935886,131501052.69497083,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-13 00:00:00+00:00,9139742.755772,10353390.448401,-1213647.6926290002,19493133.204173,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-13 12:00:00+00:00,28734480.635488,6362816.235389,22371664.400099,35097296.870877,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-14 00:00:00+00:00,2309026.919757,13954134.885442,-11645107.965684999,16263161.805199001,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-14 12:00:00+00:00,6469959.460341,9363347.8732105,-2893388.412869501,15833307.3335515,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-15 00:00:00+00:00,5415008.432446,27554264.17634,-22139255.743894,32969272.608785998,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-15 12:00:00+00:00,17378848.83018,19928458.016112,-2549609.1859319992,37307306.846292004,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-16 00:00:00+00:00,7096233.984373,8022143.018707,-925909.0343339993,15118377.00308,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-16 12:00:00+00:00,4812819.678892,8164936.556053,-3352116.877161,12977756.234945,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-17 00:00:00+00:00,1828066.60108,23418379.443382,-21590312.842302,25246446.044462,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-17 12:00:00+00:00,1841040.63646,2012538.497992,-171497.86153200013,3853579.1344520003,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-18 00:00:00+00:00,5696335.49429999,118537.91989,5577797.574409991,5814873.41418999,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-18 12:00:00+00:00,77697540.16002575,36541906.9780887,41155633.18193705,114239447.13811445,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-19 00:00:00+00:00,13617459.957844,45891573.982169,-32274114.024325002,59509033.94001301,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-19 12:00:00+00:00,25479482.0591713,7104301.011956,18375181.0472153,32583783.0711273,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-20 00:00:00+00:00,18512762.657695,9763472.84020399,8749289.81749101,28276235.49789899,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-20 12:00:00+00:00,28770759.98415398,13480178.11841,15290581.865743978,42250938.10256398,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-21 00:00:00+00:00,18044997.657617,11392056.43691,6652941.220706999,29437054.094527,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
2025-05-21 12:00:00+00:00,115552587.12593728,38228550.668934,77324036.45700328,153781137.79487127,v3,12h,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:19:42.448826+00:00
