ts,oi_open,oi_high,oi_low,oi_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,516346808.0,518927570.0,494712713.0,510601988.0,v3,12h,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:35:39.705823+00:00
2025-04-29 00:00:00+00:00,510601988.0,520582692.0,508193879.0,513004188.0,v3,12h,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:35:39.705823+00:00
2025-04-29 12:00:00+00:00,513004188.0,525336950.0,507923397.0,510185771.0,v3,12h,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:01.146498+00:00
2025-04-30 00:00:00+00:00,510185771.0,528027227.0,509522379.0,525952765.0,v3,12h,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:01.146498+00:00
2025-04-30 12:00:00+00:00,525952765.0,526708091.0,499774368.0,516693776.0,v3,12h,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:01.146498+00:00
2025-05-01 00:00:00+00:00,516693776.0,526389875.0,508658067.0,516663768.0,v3,12h,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:01.146498+00:00
2025-05-01 12:00:00+00:00,516663768.0,545562411.0,510773816.0,511354164.0,v3,12h,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:01.146498+00:00
2025-05-02 00:00:00+00:00,511354164.0,522906497.0,501427808.0,501793854.0,v3,12h,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:01.146498+00:00
2025-05-02 12:00:00+00:00,501793854.0,551840318.0,496955869.0,536491067.0,v3,12h,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:01.146498+00:00
2025-05-03 00:00:00+00:00,536491067.0,536612471.0,521615062.0,522373665.0,v3,12h,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:01.146498+00:00
2025-05-03 12:00:00+00:00,522373665.0,528873819.0,516941169.0,520813537.0,v3,12h,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:01.146498+00:00
2025-05-04 00:00:00+00:00,520813537.0,528250794.0,516217839.0,524255063.0,v3,12h,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:01.146498+00:00
2025-05-04 12:00:00+00:00,524255063.0,550396009.0,515538177.0,536639802.0,v3,12h,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:01.146498+00:00
