ts,top_acct_ls_ratio,top_acct_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,3.07,75.44,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:35:49.513149+00:00
2025-04-29 00:00:00+00:00,2.31,69.75,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:35:49.513149+00:00
2025-04-29 12:00:00+00:00,2.46,71.09,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
2025-04-30 00:00:00+00:00,2.26,69.34,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
2025-04-30 12:00:00+00:00,2.33,69.94,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
2025-05-01 00:00:00+00:00,2.37,70.32,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
2025-05-01 12:00:00+00:00,2.75,73.34,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
2025-05-02 00:00:00+00:00,2.59,72.17,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
2025-05-02 12:00:00+00:00,2.75,73.34,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
2025-05-03 00:00:00+00:00,2.99,74.93,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
2025-05-03 12:00:00+00:00,2.97,74.82,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
2025-05-04 00:00:00+00:00,2.63,72.47,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
2025-05-04 12:00:00+00:00,2.58,72.05,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
2025-05-05 00:00:00+00:00,2.66,72.67,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
2025-05-05 12:00:00+00:00,2.59,72.13,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
2025-05-06 00:00:00+00:00,3.14,75.85,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
2025-05-06 12:00:00+00:00,2.9,74.36,v3,12h,LTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:12.302246+00:00
