ts,long_liq,short_liq,net_liq,total_liq,api_version,interval,symbol,endpoint,path,fetched_at
2025-04-28 00:00:00+00:00,3605363.53267698,4229004.04522845,-623640.5125514697,7834367.577905429,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-22T21:22:53.365506+00:00
2025-04-28 12:00:00+00:00,721319.268892,4692413.28065922,-3971094.01176722,5413732.549551221,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-23T00:33:09.706751+00:00
2025-04-29 00:00:00+00:00,528658.837818,1094313.09053843,-565654.25272043,1622971.92835643,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-23T00:33:09.706751+00:00
2025-04-29 12:00:00+00:00,845767.816193,3481510.93660981,-2635743.1204168103,4327278.75280281,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:01:54.281025+00:00
2025-04-30 00:00:00+00:00,917799.544406,1567003.630768,-649204.086362,2484803.1751739997,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:01:54.281025+00:00
2025-04-30 12:00:00+00:00,4232136.051315,8807449.5882083,-4575313.536893299,13039585.6395233,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:01:54.281025+00:00
2025-05-01 00:00:00+00:00,3973824.040678,111636.4177,3862187.622978,4085460.458378,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:01:54.281025+00:00
2025-05-01 12:00:00+00:00,2521072.433628,2002263.4098759,518809.02375209983,4523335.8435039,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:01:54.281025+00:00
2025-05-02 00:00:00+00:00,299376.7624,1194275.816154,-894899.0537539999,1493652.5785539998,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:01:54.281025+00:00
2025-05-02 12:00:00+00:00,759331.981177,2455865.105238,-1696533.124061,3215197.086415,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:01:54.281025+00:00
2025-05-03 00:00:00+00:00,185819.6975,1336112.863506,-1150293.166006,1521932.561006,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:01:54.281025+00:00
2025-05-03 12:00:00+00:00,659564.48004492,1912821.80165467,-1253257.32160975,2572386.28169959,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:01:54.281025+00:00
2025-05-04 00:00:00+00:00,224548.2422,2386945.237812,-2162396.9956119996,2611493.480012,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:01:54.281025+00:00
2025-05-04 12:00:00+00:00,554419.056089,3032610.57915,-2478191.5230610003,3587029.635239,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:01:54.281025+00:00
2025-05-05 00:00:00+00:00,1077394.040285,4556791.11554293,-3479397.0752579295,5634185.15582793,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:01:54.281025+00:00
2025-05-05 12:00:00+00:00,1816907.435053,823700.014372,993207.420681,2640607.4494249998,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:01:54.281025+00:00
2025-05-06 00:00:00+00:00,124247.8314,3842598.82566158,-3718350.99426158,3966846.65706158,v3,12h,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:01:54.281025+00:00
