ts,top_acct_ls_ratio,top_acct_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,1.01,50.27,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:36:09.659303+00:00
2025-04-29 00:00:00+00:00,1.34,57.21,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:36:09.659303+00:00
2025-04-29 12:00:00+00:00,1.15,53.47,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:33.322976+00:00
2025-04-30 00:00:00+00:00,1.12,52.86,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:33.322976+00:00
2025-04-30 12:00:00+00:00,1.03,50.75,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:33.322976+00:00
2025-05-01 00:00:00+00:00,1.12,52.87,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:33.322976+00:00
2025-05-01 12:00:00+00:00,1.16,53.64,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-02 00:00:00+00:00,1.31,56.73,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-02 12:00:00+00:00,1.47,59.45,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-03 00:00:00+00:00,1.3,56.52,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-03 12:00:00+00:00,1.29,56.34,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-04 00:00:00+00:00,1.52,60.36,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-04 12:00:00+00:00,1.73,63.41,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-05 00:00:00+00:00,1.53,60.39,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-05 12:00:00+00:00,1.2,54.46,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-06 00:00:00+00:00,1.13,53.07,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-06 12:00:00+00:00,1.79,64.1,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-07 00:00:00+00:00,1.43,58.87,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-07 12:00:00+00:00,1.31,56.65,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-08 00:00:00+00:00,1.31,56.65,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-08 12:00:00+00:00,1.01,50.3,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-09 00:00:00+00:00,0.99,49.64,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-09 12:00:00+00:00,1.42,58.74,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
2025-05-10 00:00:00+00:00,1.67,62.57,v3,12h,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:23:36.037924+00:00
