ts,global_ls_ratio,global_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,1.92,65.78,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:35:24.210577+00:00
2025-04-29 00:00:00+00:00,1.72,63.28,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:35:24.210577+00:00
2025-04-29 12:00:00+00:00,1.7,62.9,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:04:45.602316+00:00
2025-04-30 00:00:00+00:00,1.6,61.51,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:04:45.602316+00:00
2025-04-30 12:00:00+00:00,1.56,60.96,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:04:45.602316+00:00
2025-05-01 00:00:00+00:00,1.76,63.8,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:04:45.602316+00:00
2025-05-01 12:00:00+00:00,1.78,64.05,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:22:34.470854+00:00
2025-05-02 00:00:00+00:00,1.83,64.66,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:22:34.470854+00:00
2025-05-02 12:00:00+00:00,1.86,65.03,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:22:34.470854+00:00
2025-05-03 00:00:00+00:00,1.8,64.23,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:22:34.470854+00:00
2025-05-03 12:00:00+00:00,1.76,63.75,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:22:34.470854+00:00
2025-05-04 00:00:00+00:00,1.87,65.11,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:22:34.470854+00:00
2025-05-04 12:00:00+00:00,1.88,65.3,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:22:34.470854+00:00
2025-05-05 00:00:00+00:00,1.87,65.18,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:22:34.470854+00:00
2025-05-05 12:00:00+00:00,1.95,66.09,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:22:34.470854+00:00
2025-05-06 00:00:00+00:00,2.07,67.45,v3,12h,TRX,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:22:34.470854+00:00
