ts,fr_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-04-28 12:00:00+00:00,-0.006292,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:33:46.666994+00:00
2025-04-29 00:00:00+00:00,0.004954,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:33:46.666994+00:00
2025-04-29 12:00:00+00:00,-0.003024,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-04-30 00:00:00+00:00,-0.010747,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-04-30 12:00:00+00:00,-0.001607,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-01 00:00:00+00:00,0.009721,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-01 12:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-02 00:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-02 12:00:00+00:00,0.001785,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-03 00:00:00+00:00,0.004745,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-03 12:00:00+00:00,0.004241,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-04 00:00:00+00:00,-0.001801,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-04 12:00:00+00:00,-0.010351,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-05 00:00:00+00:00,-0.000296,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-05 12:00:00+00:00,0.003992,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-06 00:00:00+00:00,-0.001846,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-06 12:00:00+00:00,0.006833,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-07 00:00:00+00:00,0.006553,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-07 12:00:00+00:00,0.006191,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-08 00:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-08 12:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-09 00:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-09 12:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-10 00:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-10 12:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-11 00:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-11 12:00:00+00:00,0.009125,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-12 00:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-12 12:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-13 00:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-13 12:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-14 00:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-14 12:00:00+00:00,0.002786,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-15 00:00:00+00:00,0.000927,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-15 12:00:00+00:00,0.00861,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-16 00:00:00+00:00,0.005762,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-16 12:00:00+00:00,0.007415,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-17 00:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-17 12:00:00+00:00,0.003262,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-18 00:00:00+00:00,-0.000602,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-18 12:00:00+00:00,0.006737,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-19 00:00:00+00:00,-0.009083,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-19 12:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-20 00:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-20 12:00:00+00:00,0.001799,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-21 00:00:00+00:00,-0.004134,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-21 12:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-22 00:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-22 12:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-23 00:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-23 12:00:00+00:00,-0.003369,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-24 00:00:00+00:00,0.01,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-24 12:00:00+00:00,0.007622,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
2025-05-25 00:00:00+00:00,-0.009362,v3,12h,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:02:42.060058+00:00
