ts,fr_close,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:38:20.932528+00:00
2023-07-30 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-07-31 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-01 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-02 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-03 00:00:00+00:00,-0.009957,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-04 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-05 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-06 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-07 00:00:00+00:00,0.006306,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-08 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-09 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-10 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-11 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-12 00:00:00+00:00,0.001388,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-13 00:00:00+00:00,0.006277,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-14 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-15 00:00:00+00:00,-0.019908,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-16 00:00:00+00:00,-0.036311,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-17 00:00:00+00:00,-0.047724,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-18 00:00:00+00:00,-0.010557,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-19 00:00:00+00:00,-0.002416,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-20 00:00:00+00:00,-0.003554,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-21 00:00:00+00:00,0.007069,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-22 00:00:00+00:00,-0.018439,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-23 00:00:00+00:00,-0.004418,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-24 00:00:00+00:00,0.001169,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-25 00:00:00+00:00,-0.008317,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-26 00:00:00+00:00,-0.012607,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-27 00:00:00+00:00,-0.003902,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-28 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-29 00:00:00+00:00,0.01,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-30 00:00:00+00:00,0.000565,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-08-31 00:00:00+00:00,-0.015549,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-09-01 00:00:00+00:00,-0.00771,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-09-02 00:00:00+00:00,-0.010209,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-09-03 00:00:00+00:00,-0.012146,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-09-04 00:00:00+00:00,0.005752,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-09-05 00:00:00+00:00,0.003801,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
2023-09-06 00:00:00+00:00,0.008378,v3,1d,ADA,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:19.096618+00:00
