ts,long_liq,short_liq,net_liq,total_liq,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,75828.4092,16893.2465,58935.16269999999,92721.6557,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-23T00:38:07.504181+00:00
2023-07-30 00:00:00+00:00,163860.730559,498306.66774121,-334445.93718221004,662167.39830021,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-07-31 00:00:00+00:00,66658.81924,288750.35549997,-222091.53625997005,355409.17473997,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-01 00:00:00+00:00,115207.62627,950460.4477578,-835252.8214878,1065668.0740278,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-02 00:00:00+00:00,25915.6897,437044.92423032,-411129.23453032,462960.61393031996,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-03 00:00:00+00:00,19621.47036,857983.86424464,-838362.39388464,877605.33460464,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-04 00:00:00+00:00,24939.6302,156966.60531,-132026.97511,181906.23551000003,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-05 00:00:00+00:00,27857.43114,186764.3152,-158906.88406,214621.74634,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-06 00:00:00+00:00,34257.9273,63439.36309,-29181.435789999996,97697.29039000001,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-07 00:00:00+00:00,92994.736,784239.5991535,-691244.8631535,877234.3351535001,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-08 00:00:00+00:00,272926.31434,66430.17140741,206496.14293258998,339356.48574741,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-09 00:00:00+00:00,42068.9655706,130153.91,-88084.9444294,172222.8755706,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-10 00:00:00+00:00,18767.8,93881.1415,-75113.3415,112648.9415,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-11 00:00:00+00:00,5060.3156,170005.6934084,-164945.3778084,175066.0090084,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-12 00:00:00+00:00,5887.9424,74902.72941,-69014.78701,80790.67181,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-13 00:00:00+00:00,15360.42347,316168.05361494,-300807.63014494005,331528.47708494,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-14 00:00:00+00:00,19384.8933,102738.19919848,-83353.30589848,122123.09249848,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-15 00:00:00+00:00,12243.5801,1528331.34820213,-1516087.7681021302,1540574.92830213,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-16 00:00:00+00:00,200933.0512,1218648.29614097,-1017715.24494097,1419581.3473409698,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-17 00:00:00+00:00,485570.59679776,3944511.67049206,-3458941.0736943,4430082.26728982,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-18 00:00:00+00:00,181978.66219,150426.78558622,31551.876603779994,332405.44777622004,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-19 00:00:00+00:00,220490.62101,53671.19438,166819.42663,274161.81539,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-20 00:00:00+00:00,341443.1932934,50942.90006,290500.2932334,392386.0933534,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
2023-08-21 00:00:00+00:00,50467.73397,572614.39838,-522146.66441,623082.1323500001,v3,1d,ADA,liq,/futures/liquidation/aggregated-history,2026-04-24T04:08:05.453977+00:00
