ts,oi_open,oi_high,oi_low,oi_close,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,134292647.0,135817871.0,130167864.0,132687655.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:38:03.607994+00:00
2023-07-30 00:00:00+00:00,132687655.0,135603937.0,126102792.0,128674297.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-07-31 00:00:00+00:00,128674297.0,130532563.0,123330374.0,126715418.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-01 00:00:00+00:00,126715418.0,128343354.0,121550969.0,125495156.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-02 00:00:00+00:00,125495156.0,126827538.0,120690001.0,123730383.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-03 00:00:00+00:00,123730383.0,127478286.0,122406882.0,124339571.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-04 00:00:00+00:00,124339571.0,128946645.0,123076318.0,123749774.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-05 00:00:00+00:00,123749774.0,127489497.0,123127722.0,127429831.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-06 00:00:00+00:00,127429831.0,127550190.0,123160926.0,126015547.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-07 00:00:00+00:00,126015547.0,131818683.0,121723275.0,124267303.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-08 00:00:00+00:00,124267303.0,130794214.0,124098163.0,125866028.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-09 00:00:00+00:00,125866028.0,129079203.0,123960409.0,128308597.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-10 00:00:00+00:00,128308597.0,128425698.0,125265401.0,126369534.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-11 00:00:00+00:00,126369534.0,126801526.0,123757042.0,124690615.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-12 00:00:00+00:00,124690615.0,131815820.0,124453679.0,131572447.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-13 00:00:00+00:00,131572447.0,137405515.0,130974207.0,132767789.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-14 00:00:00+00:00,132767789.0,138878107.0,132301825.0,135675473.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-15 00:00:00+00:00,135675473.0,137449620.0,123816905.0,124543236.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-16 00:00:00+00:00,124543236.0,124953858.0,114566693.0,118339934.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-17 00:00:00+00:00,118339934.0,120253360.0,95204028.0,107056048.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-18 00:00:00+00:00,107056048.0,109354278.0,99771431.0,102273478.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-19 00:00:00+00:00,102273478.0,106708578.0,101237773.0,106114823.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-20 00:00:00+00:00,106114823.0,106494198.0,101742245.0,104085995.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-21 00:00:00+00:00,104085995.0,104572269.0,96830848.0,97631811.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-22 00:00:00+00:00,97631811.0,109703807.0,97395208.0,108490253.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-23 00:00:00+00:00,108490253.0,110912928.0,104602248.0,106353847.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-24 00:00:00+00:00,106353847.0,106715625.0,102234224.0,105710233.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-25 00:00:00+00:00,105710233.0,110592761.0,104601085.0,107589869.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-26 00:00:00+00:00,107589869.0,110540362.0,106563071.0,109243317.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-27 00:00:00+00:00,109243317.0,113141272.0,108757369.0,111367788.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-28 00:00:00+00:00,111367788.0,113069764.0,109623491.0,111460597.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-29 00:00:00+00:00,111460597.0,113364017.0,108246098.0,110127721.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-30 00:00:00+00:00,110127721.0,116358113.0,109110004.0,115491702.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-08-31 00:00:00+00:00,115491702.0,115650205.0,104334648.0,107279840.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-01 00:00:00+00:00,107279840.0,110045369.0,104189958.0,105313078.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-02 00:00:00+00:00,105313078.0,106104314.0,99790792.0,99988431.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-03 00:00:00+00:00,99988431.0,105143441.0,99406101.0,105128706.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-04 00:00:00+00:00,105128706.0,106536437.0,100040178.0,100344352.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-05 00:00:00+00:00,100344352.0,101098128.0,99045828.0,99257432.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-06 00:00:00+00:00,99257432.0,103496630.0,99191999.0,103214106.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-07 00:00:00+00:00,103214106.0,106177780.0,101343046.0,103361431.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-08 00:00:00+00:00,103361431.0,108624369.0,101952671.0,108170653.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-09 00:00:00+00:00,108170653.0,108371878.0,100391171.0,102978631.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-10 00:00:00+00:00,102978631.0,108517234.0,100906786.0,105631814.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-11 00:00:00+00:00,105631814.0,107373259.0,103451767.0,104288391.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-12 00:00:00+00:00,104288391.0,105474869.0,101094151.0,101442305.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-13 00:00:00+00:00,101442305.0,103456663.0,100692219.0,101196373.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-14 00:00:00+00:00,101196373.0,102380850.0,89066986.0,98680530.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-15 00:00:00+00:00,98680530.0,103421774.0,98499789.0,101820825.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-16 00:00:00+00:00,101820825.0,103764600.0,99271688.0,99443796.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-17 00:00:00+00:00,99443796.0,100920708.0,96318802.0,99943678.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-18 00:00:00+00:00,99943678.0,105855217.0,98691501.0,98740007.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-19 00:00:00+00:00,98740007.0,102945375.0,98364864.0,100429566.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-20 00:00:00+00:00,100429566.0,108499656.0,98222670.0,108484486.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-21 00:00:00+00:00,108484486.0,113502338.0,103620707.0,103844623.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-22 00:00:00+00:00,103844623.0,111487871.0,100423898.0,109626078.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-23 00:00:00+00:00,109626078.0,109751475.0,102069672.0,102096254.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-24 00:00:00+00:00,102096254.0,102824935.0,101223804.0,102490577.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-25 00:00:00+00:00,102490577.0,107908071.0,102339964.0,104423523.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-26 00:00:00+00:00,104423523.0,104559146.0,100073630.0,100914087.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-27 00:00:00+00:00,100914087.0,105668535.0,100358002.0,104898749.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-28 00:00:00+00:00,104898749.0,108934053.0,104521481.0,106828176.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-29 00:00:00+00:00,106828176.0,110557796.0,106206582.0,108621476.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-09-30 00:00:00+00:00,108621476.0,110455180.0,106983304.0,107167285.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-01 00:00:00+00:00,107167285.0,117722034.0,107090568.0,117431445.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-02 00:00:00+00:00,117431445.0,118690477.0,107401013.0,112080049.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-03 00:00:00+00:00,112080049.0,116782743.0,111984833.0,115122469.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-04 00:00:00+00:00,115122469.0,115624767.0,109252721.0,112270565.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-05 00:00:00+00:00,112270565.0,119845292.0,110580398.0,119845292.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-06 00:00:00+00:00,119845292.0,124254020.0,119613064.0,122081589.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-07 00:00:00+00:00,122081589.0,123469279.0,119455273.0,122310602.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-08 00:00:00+00:00,122310602.0,122310602.0,118418896.0,118589068.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-09 00:00:00+00:00,118589068.0,119371090.0,113233185.0,116432811.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-10 00:00:00+00:00,116432811.0,120425598.0,115923167.0,116514635.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-11 00:00:00+00:00,116514635.0,119981930.0,113623561.0,117552680.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-12 00:00:00+00:00,117552680.0,117764118.0,113025417.0,115585132.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-13 00:00:00+00:00,115585132.0,119204889.0,113307532.0,118833330.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-14 00:00:00+00:00,118833330.0,120289522.0,116282262.0,116282262.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-15 00:00:00+00:00,116282262.0,117017309.0,114636977.0,116361196.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-16 00:00:00+00:00,116361196.0,125428971.0,116242616.0,122594363.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-17 00:00:00+00:00,122594363.0,122863480.0,114284701.0,114363635.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-18 00:00:00+00:00,114363635.0,119996538.0,114188239.0,118031469.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-19 00:00:00+00:00,118031469.0,121059685.0,115965102.0,121059685.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-20 00:00:00+00:00,121059685.0,125639203.0,119067849.0,122582134.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-21 00:00:00+00:00,122582134.0,131327664.0,120484823.0,127454286.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-22 00:00:00+00:00,127454286.0,129799956.0,126315250.0,128590957.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-23 00:00:00+00:00,128590957.0,135331306.0,127730001.0,133550616.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-24 00:00:00+00:00,133550616.0,136790628.0,123628725.0,126608078.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-25 00:00:00+00:00,126608078.0,133439645.0,126193571.0,127979558.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-26 00:00:00+00:00,127979558.0,135005892.0,126845573.0,130944467.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-27 00:00:00+00:00,130944467.0,134401743.0,126458921.0,130078503.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-28 00:00:00+00:00,130078503.0,137308525.0,127705620.0,128266106.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-29 00:00:00+00:00,128266106.0,133759265.0,125897638.0,131824452.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-30 00:00:00+00:00,131824452.0,145946521.0,130221382.0,145370320.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-10-31 00:00:00+00:00,145370320.0,147192757.0,120543778.0,126314046.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-11-01 00:00:00+00:00,126314046.0,149594935.0,125487912.0,148768087.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-11-02 00:00:00+00:00,148768087.0,157768846.0,136343331.0,150805821.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-11-03 00:00:00+00:00,150805821.0,154559194.0,144664268.0,150596149.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
2023-11-04 00:00:00+00:00,150596149.0,151112775.0,143011027.0,143337228.0,v3,1d,ADA,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:08:01.928921+00:00
