ts,fr_close,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,0.009185,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:39:22.627856+00:00
2023-07-30 00:00:00+00:00,0.00862,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-07-31 00:00:00+00:00,-0.009489,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-01 00:00:00+00:00,0.01,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-02 00:00:00+00:00,-0.00019,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-03 00:00:00+00:00,-0.004145,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-04 00:00:00+00:00,0.004434,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-05 00:00:00+00:00,-0.010195,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-06 00:00:00+00:00,0.01,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-07 00:00:00+00:00,-0.00098,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-08 00:00:00+00:00,0.01,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-09 00:00:00+00:00,0.01,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-10 00:00:00+00:00,0.01,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-11 00:00:00+00:00,0.00027,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-12 00:00:00+00:00,-0.009613,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-13 00:00:00+00:00,-0.000644,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-14 00:00:00+00:00,0.01,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-15 00:00:00+00:00,-0.025203,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-16 00:00:00+00:00,-0.019204,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-17 00:00:00+00:00,-0.104508,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-18 00:00:00+00:00,-0.007652,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-19 00:00:00+00:00,-0.02187,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-20 00:00:00+00:00,0.002814,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-21 00:00:00+00:00,-0.016802,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-22 00:00:00+00:00,-0.025615,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-23 00:00:00+00:00,-0.009976,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-24 00:00:00+00:00,-0.015221,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-25 00:00:00+00:00,-0.02005,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-26 00:00:00+00:00,0.004629,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-27 00:00:00+00:00,-0.002093,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-28 00:00:00+00:00,0.007797,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-29 00:00:00+00:00,0.01,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-30 00:00:00+00:00,0.001537,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-08-31 00:00:00+00:00,-0.010925,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-09-01 00:00:00+00:00,-0.01596,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-09-02 00:00:00+00:00,-0.020489,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
2023-09-03 00:00:00+00:00,0.01,v3,1d,AVAX,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:09:23.530293+00:00
