ts,oi_open,oi_high,oi_low,oi_close,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,80340485.0,81325156.0,78833959.0,79503345.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:39:05.624920+00:00
2023-07-30 00:00:00+00:00,79503345.0,82520652.0,76945431.0,77624516.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-07-31 00:00:00+00:00,77624516.0,80092472.0,76228714.0,77228412.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-01 00:00:00+00:00,77228412.0,78044806.0,70938470.0,73920609.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-02 00:00:00+00:00,73920609.0,74583440.0,71520397.0,72432035.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-03 00:00:00+00:00,72432035.0,74996570.0,71824007.0,73114687.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-04 00:00:00+00:00,73114687.0,75936329.0,72724662.0,73070919.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-05 00:00:00+00:00,73070919.0,75351375.0,72451824.0,75351375.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-06 00:00:00+00:00,75351375.0,76609233.0,74815560.0,75186801.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-07 00:00:00+00:00,75186801.0,77410662.0,70601966.0,73225082.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-08 00:00:00+00:00,73225082.0,79084345.0,73221964.0,76769929.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-09 00:00:00+00:00,76769929.0,78482249.0,75664879.0,77197591.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-10 00:00:00+00:00,77197591.0,78787229.0,76190384.0,76867876.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-11 00:00:00+00:00,76867876.0,77312128.0,74031840.0,74595194.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-12 00:00:00+00:00,74595194.0,76068121.0,74563803.0,75674793.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-13 00:00:00+00:00,75674793.0,77658643.0,75462304.0,76663781.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-14 00:00:00+00:00,76663781.0,80972217.0,76428493.0,79410058.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-15 00:00:00+00:00,79410058.0,79613140.0,68783148.0,70211283.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-16 00:00:00+00:00,70211283.0,70771647.0,67262497.0,69452611.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-17 00:00:00+00:00,69452611.0,71046648.0,56604455.0,62124247.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-18 00:00:00+00:00,62124247.0,63645124.0,60776736.0,61413471.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-19 00:00:00+00:00,61413471.0,62169953.0,60650981.0,61273044.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-20 00:00:00+00:00,61273044.0,61811864.0,60308672.0,61339680.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-21 00:00:00+00:00,61339680.0,61534691.0,58172771.0,60193503.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-22 00:00:00+00:00,60193503.0,77544472.0,60100393.0,74597768.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-23 00:00:00+00:00,74597768.0,76111736.0,73230383.0,73685645.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-24 00:00:00+00:00,73685645.0,76383850.0,73263960.0,75665750.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
2023-08-25 00:00:00+00:00,75665750.0,78584215.0,74065961.0,75373134.0,v3,1d,AVAX,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:04.744608+00:00
