ts,top_pos_ls_ratio,top_pos_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,1.11,52.57,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:39:19.304603+00:00
2023-07-30 00:00:00+00:00,1.12,52.75,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-07-31 00:00:00+00:00,1.11,52.65,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-01 00:00:00+00:00,1.08,51.97,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-02 00:00:00+00:00,1.06,51.56,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-03 00:00:00+00:00,1.09,52.06,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-04 00:00:00+00:00,1.03,50.78,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-05 00:00:00+00:00,1.01,50.18,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-06 00:00:00+00:00,0.99,49.84,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-07 00:00:00+00:00,1.03,50.81,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-08 00:00:00+00:00,1.08,51.85,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-09 00:00:00+00:00,1.12,52.8,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-10 00:00:00+00:00,1.13,53.15,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-11 00:00:00+00:00,1.11,52.7,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-12 00:00:00+00:00,1.07,51.78,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-13 00:00:00+00:00,1.07,51.57,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-14 00:00:00+00:00,1.06,51.33,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-15 00:00:00+00:00,1.08,52.01,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-16 00:00:00+00:00,1.08,51.91,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-17 00:00:00+00:00,1.08,51.89,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-18 00:00:00+00:00,1.03,50.82,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-19 00:00:00+00:00,1.01,50.31,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-20 00:00:00+00:00,1.02,50.56,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-21 00:00:00+00:00,1.03,50.79,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-22 00:00:00+00:00,1.07,51.57,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-23 00:00:00+00:00,0.98,49.51,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-24 00:00:00+00:00,0.98,49.5,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-25 00:00:00+00:00,1.0,50.11,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-26 00:00:00+00:00,1.01,50.33,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-27 00:00:00+00:00,1.03,50.71,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-28 00:00:00+00:00,1.03,50.79,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-29 00:00:00+00:00,1.13,52.98,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-30 00:00:00+00:00,1.1,52.36,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-08-31 00:00:00+00:00,1.1,52.36,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-01 00:00:00+00:00,1.04,51.02,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-02 00:00:00+00:00,0.97,49.29,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-03 00:00:00+00:00,0.96,49.07,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-04 00:00:00+00:00,0.98,49.49,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-05 00:00:00+00:00,0.97,49.11,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-06 00:00:00+00:00,0.99,49.78,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-07 00:00:00+00:00,1.01,50.18,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-08 00:00:00+00:00,1.01,50.33,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-09 00:00:00+00:00,1.01,50.26,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-10 00:00:00+00:00,1.0,50.02,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-11 00:00:00+00:00,0.98,49.47,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-12 00:00:00+00:00,0.92,48.02,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-13 00:00:00+00:00,1.0,50.01,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-14 00:00:00+00:00,1.02,50.45,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-15 00:00:00+00:00,1.07,51.67,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
2023-09-16 00:00:00+00:00,1.13,53.13,v3,1d,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:20.055827+00:00
