ts,global_ls_ratio,global_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,3.27,76.57,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-22T21:23:55.221892+00:00
2023-07-29 00:00:00+00:00,2.8,73.66,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:37:08.589339+00:00
2023-07-30 00:00:00+00:00,2.85,74.0,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-07-31 00:00:00+00:00,2.77,73.48,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-01 00:00:00+00:00,2.96,74.75,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-02 00:00:00+00:00,2.27,69.45,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-03 00:00:00+00:00,3.09,75.54,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-04 00:00:00+00:00,3.2,76.16,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-05 00:00:00+00:00,3.01,75.03,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-06 00:00:00+00:00,2.73,73.2,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-07 00:00:00+00:00,2.41,70.66,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-08 00:00:00+00:00,3.32,76.87,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-09 00:00:00+00:00,2.17,68.41,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-10 00:00:00+00:00,2.72,73.11,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-11 00:00:00+00:00,3.55,78.0,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-12 00:00:00+00:00,3.94,79.75,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-13 00:00:00+00:00,3.73,78.84,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-14 00:00:00+00:00,3.73,78.86,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-15 00:00:00+00:00,3.91,79.63,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-16 00:00:00+00:00,4.03,80.1,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-17 00:00:00+00:00,4.07,80.26,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-18 00:00:00+00:00,3.48,77.69,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-19 00:00:00+00:00,3.43,77.4,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-20 00:00:00+00:00,3.6,78.27,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-21 00:00:00+00:00,3.71,78.75,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-22 00:00:00+00:00,3.29,76.68,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-23 00:00:00+00:00,3.13,75.78,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-24 00:00:00+00:00,2.68,72.8,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-25 00:00:00+00:00,2.34,70.03,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-26 00:00:00+00:00,2.11,67.88,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-27 00:00:00+00:00,2.21,68.84,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-28 00:00:00+00:00,2.14,68.17,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-29 00:00:00+00:00,2.2,68.77,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-30 00:00:00+00:00,2.0,66.68,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-08-31 00:00:00+00:00,2.0,66.68,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-01 00:00:00+00:00,2.86,74.1,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-02 00:00:00+00:00,2.87,74.13,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-03 00:00:00+00:00,2.87,74.17,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-04 00:00:00+00:00,2.91,74.39,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-05 00:00:00+00:00,2.82,73.79,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-06 00:00:00+00:00,2.95,74.65,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-07 00:00:00+00:00,2.93,74.53,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-08 00:00:00+00:00,2.83,73.88,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-09 00:00:00+00:00,3.22,76.29,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-10 00:00:00+00:00,2.95,74.68,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-11 00:00:00+00:00,2.88,74.22,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-12 00:00:00+00:00,3.11,75.68,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-13 00:00:00+00:00,2.72,73.13,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-14 00:00:00+00:00,2.71,73.05,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-15 00:00:00+00:00,2.94,74.64,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-16 00:00:00+00:00,2.71,73.03,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-17 00:00:00+00:00,2.68,72.85,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
2023-09-18 00:00:00+00:00,2.36,70.26,v3,1d,BNB,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:06:34.317894+00:00
