ts,long_liq,short_liq,net_liq,total_liq,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,3304655.488166,3099307.067657,205348.4205090003,6403962.555823,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-22T21:23:12.794929+00:00
2023-07-29 00:00:00+00:00,1049087.14839,511519.59979,537567.5486,1560606.74818,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-23T00:36:23.449670+00:00
2023-07-30 00:00:00+00:00,1401138.79069999,5719567.01535231,-4318428.22465232,7120705.806052299,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-24T04:05:47.369659+00:00
2023-07-31 00:00:00+00:00,3409994.50416594,3381142.54028038,28851.96388556017,6791137.044446319,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-24T04:05:47.369659+00:00
2023-08-01 00:00:00+00:00,27979803.83031828,23702924.25607549,4276879.574242789,51682728.08639377,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-02 00:00:00+00:00,16138583.26785524,19940350.22835977,-3801766.96050453,36078933.49621501,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-03 00:00:00+00:00,4166295.20366393,5451616.82617,-1285321.6225060704,9617912.02983393,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-04 00:00:00+00:00,2017327.268786,7974048.17636024,-5956720.90757424,9991375.44514624,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-05 00:00:00+00:00,888994.243805,2491724.674887,-1602730.431082,3380718.918692,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-06 00:00:00+00:00,1803874.283424,1123546.120335,680328.1630889999,2927420.403759,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-07 00:00:00+00:00,6418517.4740495,11361167.60131697,-4942650.12726747,17779685.07536647,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-08 00:00:00+00:00,37186027.5938317,5371095.79933692,31814931.794494785,42557123.39316862,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-09 00:00:00+00:00,5959067.781346,13341224.30029598,-7382156.518949981,19300292.08164198,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-10 00:00:00+00:00,2029356.381616,4949533.581474,-2920177.1998579996,6978889.96309,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-11 00:00:00+00:00,791911.084615,3154135.603673,-2362224.519058,3946046.688288,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-12 00:00:00+00:00,652999.665905,230269.56684,422730.09906499996,883269.2327449999,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-13 00:00:00+00:00,786307.64975,3542140.331523,-2755832.681773,4328447.981273,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-14 00:00:00+00:00,7539624.924688,12968381.78088799,-5428756.856199989,20508006.705575988,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-15 00:00:00+00:00,861435.525368,11493283.815377,-10631848.290009001,12354719.340745,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-16 00:00:00+00:00,1672650.76996,24762974.18173411,-23090323.41177411,26435624.951694112,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-17 00:00:00+00:00,120042871.95466156,386683430.72425276,-266640558.7695912,506726302.6789143,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-18 00:00:00+00:00,15645535.87691634,29980834.01562194,-14335298.138705602,45626369.89253828,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-19 00:00:00+00:00,5106708.612567,6312086.354744,-1205377.7421770003,11418794.967311,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-20 00:00:00+00:00,3176778.148018,1832246.18857698,1344531.9594410202,5009024.33659498,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-21 00:00:00+00:00,4148195.19417741,9740768.05145898,-5592572.857281571,13888963.24563639,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-22 00:00:00+00:00,6353020.20406499,18907721.81020969,-12554701.6061447,25260742.014274683,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-23 00:00:00+00:00,28058772.01338095,9635677.578887,18423094.434493948,37694449.592267945,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-24 00:00:00+00:00,2149771.423505,13461999.90313396,-11312228.479628962,15611771.32663896,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-25 00:00:00+00:00,5465866.34554765,11283667.901533,-5817801.55598535,16749534.24708065,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-26 00:00:00+00:00,429966.344491,185715.7543,244250.590191,615682.098791,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-27 00:00:00+00:00,1584456.026092,643766.45154,940689.574552,2228222.477632,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-28 00:00:00+00:00,4559440.76659604,6052946.39203933,-1493505.62544329,10612387.15863537,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-29 00:00:00+00:00,50704696.02910999,20181791.78228607,30522904.24682392,70886487.81139606,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
2023-08-30 00:00:00+00:00,2533984.707199,15900551.32346843,-13366566.61626943,18434536.03066743,v3,1d,BTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:23:54.416210+00:00
