ts,oi_open,oi_high,oi_low,oi_close,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,13680751738.0,13916683349.0,13624048470.0,13655180606.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-22T21:23:09.172398+00:00
2023-07-29 00:00:00+00:00,13655180606.0,13707367943.0,13588174619.0,13628309622.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:36:20.361584+00:00
2023-07-30 00:00:00+00:00,13628309622.0,13830523708.0,13423409805.0,13547984801.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-07-31 00:00:00+00:00,13547984801.0,13845181665.0,13420027391.0,13736963425.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-01 00:00:00+00:00,13736963425.0,13883123545.0,13241225978.0,13701049141.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-02 00:00:00+00:00,13701049141.0,14074138975.0,13258337670.0,13401172934.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-03 00:00:00+00:00,13401172934.0,13697525979.0,11447207248.0,13410827280.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-04 00:00:00+00:00,13410827280.0,13754235868.0,13324769166.0,13634764689.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-05 00:00:00+00:00,13634764689.0,13664285795.0,13568751130.0,13576403506.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-06 00:00:00+00:00,13576403506.0,13585470350.0,13329670400.0,13401844781.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-07 00:00:00+00:00,13401844781.0,13661348252.0,13381274663.0,13511911062.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-08 00:00:00+00:00,13511911062.0,14799734827.0,11358629429.0,14522184887.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-09 00:00:00+00:00,14522184887.0,15118273265.0,14338935169.0,14389605109.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-10 00:00:00+00:00,14389605109.0,14452899784.0,14132621397.0,14311402446.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-11 00:00:00+00:00,14311402446.0,14391269010.0,14109235850.0,14159480258.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-12 00:00:00+00:00,14159480258.0,14175028285.0,14025620393.0,14074247652.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-13 00:00:00+00:00,14074247652.0,14100102041.0,13919096788.0,13960133247.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-14 00:00:00+00:00,13960133247.0,14280936513.0,13763783028.0,13834308963.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-15 00:00:00+00:00,13834308963.0,14198793304.0,13805200061.0,14115482236.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-16 00:00:00+00:00,14115482236.0,14213953228.0,13965806445.0,14061509195.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-17 00:00:00+00:00,14061509195.0,14349669219.0,10936114885.0,11662185481.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-18 00:00:00+00:00,11662185481.0,11743741466.0,11284278268.0,11330843103.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-19 00:00:00+00:00,11330843103.0,11360163868.0,11085714363.0,11158723992.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-20 00:00:00+00:00,11158723992.0,11379045095.0,11128748714.0,11309889840.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-21 00:00:00+00:00,11309889840.0,11327143563.0,11135954820.0,11229201316.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-22 00:00:00+00:00,11229201316.0,11886920983.0,11162852098.0,11430427476.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-23 00:00:00+00:00,11430427476.0,12081302984.0,11354787221.0,11418571848.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-24 00:00:00+00:00,11418571848.0,11499670619.0,11199810992.0,11271995108.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-25 00:00:00+00:00,11271995108.0,11304494373.0,10975228236.0,11022763522.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-26 00:00:00+00:00,11022763522.0,11133482352.0,10768079551.0,10815771666.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-27 00:00:00+00:00,10815771666.0,11169659549.0,10744438835.0,11112526003.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-28 00:00:00+00:00,11112526003.0,11408342133.0,11067241404.0,11148453986.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-29 00:00:00+00:00,11148453986.0,12674583956.0,11137089375.0,12373683366.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-30 00:00:00+00:00,12373683366.0,12385238273.0,11967869271.0,12030286181.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-08-31 00:00:00+00:00,12030286181.0,12035990164.0,10935688407.0,11007879255.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-01 00:00:00+00:00,11007879255.0,11262033049.0,10862252384.0,10924966811.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-02 00:00:00+00:00,10924966811.0,11041873560.0,10715087746.0,10757722996.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-03 00:00:00+00:00,10757722996.0,10925412979.0,10712819916.0,10907306336.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-04 00:00:00+00:00,10907306336.0,11061387652.0,10777893734.0,10892015388.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-05 00:00:00+00:00,10892015388.0,11151879251.0,10848607555.0,10999943378.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-06 00:00:00+00:00,10999943378.0,11329694378.0,10894095634.0,11044892350.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-07 00:00:00+00:00,11044892350.0,11309174239.0,10998629044.0,11257094088.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-08 00:00:00+00:00,11257094088.0,11641650593.0,11045769979.0,11166082181.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-09 00:00:00+00:00,11166082181.0,11230446093.0,10703402053.0,10787723574.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-10 00:00:00+00:00,10787723574.0,11024131447.0,10677267796.0,10967762378.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-11 00:00:00+00:00,10967762378.0,11355473565.0,10851143954.0,11298448681.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-12 00:00:00+00:00,11298448681.0,11793052743.0,11045085675.0,11316345469.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-13 00:00:00+00:00,11316345469.0,11790566081.0,11281690079.0,11638016733.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-14 00:00:00+00:00,11638016733.0,12172626281.0,10937161125.0,11964749489.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-15 00:00:00+00:00,11964749489.0,12166196261.0,11737089930.0,11746091687.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-16 00:00:00+00:00,11746091687.0,11814544190.0,11430052339.0,11512917169.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-17 00:00:00+00:00,11512917169.0,11523728866.0,11262947048.0,11399398930.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-18 00:00:00+00:00,11399398930.0,12860762178.0,11323133485.0,11953480816.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-19 00:00:00+00:00,11953480816.0,12720566665.0,11830660481.0,12339796356.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-20 00:00:00+00:00,12339796356.0,12440403033.0,12040775084.0,12198739482.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-21 00:00:00+00:00,12198739482.0,12576832991.0,11032990444.0,11116003905.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
2023-09-22 00:00:00+00:00,11116003905.0,11971959102.0,10973967220.0,11750852007.0,v3,1d,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:05:43.855687+00:00
