ts,top_acct_ls_ratio,top_acct_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,1.54,60.6,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-22T21:23:18.813432+00:00
2023-07-29 00:00:00+00:00,1.36,57.54,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:36:31.392659+00:00
2023-07-30 00:00:00+00:00,1.41,58.52,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:54.805521+00:00
2023-07-31 00:00:00+00:00,1.52,60.29,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:05:54.805521+00:00
2023-08-01 00:00:00+00:00,1.65,62.22,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-02 00:00:00+00:00,1.49,59.89,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-03 00:00:00+00:00,1.95,66.11,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-04 00:00:00+00:00,1.71,63.07,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-05 00:00:00+00:00,1.96,66.18,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-06 00:00:00+00:00,1.94,65.98,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-07 00:00:00+00:00,1.88,65.24,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-08 00:00:00+00:00,1.8,64.32,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-09 00:00:00+00:00,0.97,49.31,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-10 00:00:00+00:00,1.36,57.61,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-11 00:00:00+00:00,1.54,60.64,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-12 00:00:00+00:00,1.68,62.72,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-13 00:00:00+00:00,1.7,62.96,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-14 00:00:00+00:00,1.8,64.34,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-15 00:00:00+00:00,1.7,62.89,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-16 00:00:00+00:00,1.97,66.33,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-17 00:00:00+00:00,2.15,68.23,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-18 00:00:00+00:00,2.23,69.05,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-19 00:00:00+00:00,2.05,67.19,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-20 00:00:00+00:00,2.26,69.34,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-21 00:00:00+00:00,2.25,69.21,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-22 00:00:00+00:00,2.1,67.74,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-23 00:00:00+00:00,2.34,70.03,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
2023-08-24 00:00:00+00:00,1.85,64.85,v3,1d,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:24:02.609624+00:00
