ts,fr_close,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,0.01,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:38:42.302659+00:00
2023-07-30 00:00:00+00:00,-0.003474,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-07-31 00:00:00+00:00,-0.000227,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-01 00:00:00+00:00,0.01,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-02 00:00:00+00:00,0.005749,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-03 00:00:00+00:00,0.006343,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-04 00:00:00+00:00,0.003118,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-05 00:00:00+00:00,0.006335,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-06 00:00:00+00:00,0.01,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-07 00:00:00+00:00,0.01,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-08 00:00:00+00:00,0.01,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-09 00:00:00+00:00,0.01,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-10 00:00:00+00:00,0.01,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-11 00:00:00+00:00,0.009396,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-12 00:00:00+00:00,0.01,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-13 00:00:00+00:00,0.01,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-14 00:00:00+00:00,0.005154,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-15 00:00:00+00:00,-0.025442,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-16 00:00:00+00:00,0.00338,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-17 00:00:00+00:00,-0.027431,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-18 00:00:00+00:00,-0.009425,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-19 00:00:00+00:00,-0.011669,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-20 00:00:00+00:00,-0.004293,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-21 00:00:00+00:00,-0.000972,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-22 00:00:00+00:00,-0.005141,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-23 00:00:00+00:00,-0.008918,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-24 00:00:00+00:00,0.006044,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-25 00:00:00+00:00,-0.000652,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-26 00:00:00+00:00,0.004576,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-27 00:00:00+00:00,0.006941,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-28 00:00:00+00:00,0.01,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-29 00:00:00+00:00,0.01,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-30 00:00:00+00:00,-0.003174,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-08-31 00:00:00+00:00,0.009619,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-09-01 00:00:00+00:00,0.007015,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-09-02 00:00:00+00:00,-0.009368,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-09-03 00:00:00+00:00,-0.00186,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-09-04 00:00:00+00:00,0.004123,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-09-05 00:00:00+00:00,0.005304,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
2023-09-06 00:00:00+00:00,0.005871,v3,1d,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:08:38.731093+00:00
