ts,top_acct_ls_ratio,top_acct_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,1.72,63.22,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-22T21:23:38.196406+00:00
2023-07-29 00:00:00+00:00,1.47,59.48,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:36:52.027414+00:00
2023-07-30 00:00:00+00:00,1.4,58.3,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-07-31 00:00:00+00:00,1.75,63.66,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-01 00:00:00+00:00,1.85,64.9,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-02 00:00:00+00:00,1.74,63.49,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-03 00:00:00+00:00,2.21,68.87,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-04 00:00:00+00:00,1.98,66.43,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-05 00:00:00+00:00,2.17,68.46,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-06 00:00:00+00:00,2.07,67.37,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-07 00:00:00+00:00,2.11,67.84,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-08 00:00:00+00:00,2.25,69.2,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-09 00:00:00+00:00,1.45,59.14,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-10 00:00:00+00:00,1.64,62.08,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-11 00:00:00+00:00,1.72,63.28,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-12 00:00:00+00:00,1.85,64.87,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-13 00:00:00+00:00,1.86,65.03,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-14 00:00:00+00:00,1.99,66.54,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-15 00:00:00+00:00,1.99,66.52,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-16 00:00:00+00:00,2.32,69.89,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-17 00:00:00+00:00,2.37,70.29,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-18 00:00:00+00:00,2.06,67.29,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-19 00:00:00+00:00,1.98,66.39,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-20 00:00:00+00:00,2.05,67.2,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-21 00:00:00+00:00,1.93,65.83,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-22 00:00:00+00:00,2.03,67.01,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-23 00:00:00+00:00,2.23,69.06,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-24 00:00:00+00:00,1.74,63.53,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-25 00:00:00+00:00,2.04,67.11,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-26 00:00:00+00:00,1.98,66.47,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-27 00:00:00+00:00,2.01,66.77,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-28 00:00:00+00:00,1.96,66.17,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-29 00:00:00+00:00,2.0,66.61,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-30 00:00:00+00:00,1.34,57.3,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-08-31 00:00:00+00:00,1.34,57.3,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-01 00:00:00+00:00,2.15,68.26,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-02 00:00:00+00:00,2.15,68.27,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-03 00:00:00+00:00,2.07,67.39,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-04 00:00:00+00:00,2.04,67.11,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-05 00:00:00+00:00,2.13,68.02,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-06 00:00:00+00:00,2.11,67.89,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-07 00:00:00+00:00,2.18,68.53,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-08 00:00:00+00:00,1.95,66.09,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-09 00:00:00+00:00,2.11,67.82,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-10 00:00:00+00:00,2.01,66.78,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-11 00:00:00+00:00,2.2,68.78,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-12 00:00:00+00:00,2.35,70.15,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-13 00:00:00+00:00,1.91,65.63,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-14 00:00:00+00:00,1.88,65.31,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-15 00:00:00+00:00,1.65,62.31,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-16 00:00:00+00:00,1.58,61.3,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-17 00:00:00+00:00,1.72,63.19,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-18 00:00:00+00:00,1.88,65.32,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-19 00:00:00+00:00,1.66,62.44,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-20 00:00:00+00:00,1.71,63.09,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-21 00:00:00+00:00,2.17,68.41,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-22 00:00:00+00:00,2.4,70.61,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-23 00:00:00+00:00,2.26,69.36,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
2023-09-24 00:00:00+00:00,2.24,69.12,v3,1d,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:06:16.003217+00:00
