ts,oi_open,oi_high,oi_low,oi_close,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,529643477.0,572671529.0,523143963.0,571588565.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:39:47.192141+00:00
2023-07-30 00:00:00+00:00,571588565.0,614638552.0,544953886.0,558307516.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-07-31 00:00:00+00:00,558307516.0,568297639.0,536061715.0,543798359.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-01 00:00:00+00:00,543798359.0,578364348.0,514100193.0,578046093.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-02 00:00:00+00:00,578046093.0,599777205.0,558004672.0,584677066.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-03 00:00:00+00:00,584677066.0,606877496.0,528176050.0,534359666.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-04 00:00:00+00:00,534359666.0,558866915.0,528311342.0,533528145.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-05 00:00:00+00:00,533528145.0,542583471.0,527225481.0,530803524.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-06 00:00:00+00:00,530803524.0,533012660.0,503427779.0,509208478.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-07 00:00:00+00:00,509208478.0,517943848.0,480040597.0,489787269.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-08 00:00:00+00:00,489787269.0,515787370.0,476640323.0,480949709.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-09 00:00:00+00:00,480949709.0,483806207.0,470727910.0,477047163.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-10 00:00:00+00:00,477047163.0,481420776.0,468819680.0,473488115.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-11 00:00:00+00:00,473488115.0,475914802.0,463897673.0,471531315.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-12 00:00:00+00:00,471531315.0,476595180.0,466284941.0,470106061.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-13 00:00:00+00:00,470106061.0,478763991.0,457483545.0,462002763.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-14 00:00:00+00:00,462002763.0,472925426.0,459507631.0,462430676.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-15 00:00:00+00:00,462430676.0,476306223.0,439108529.0,442851444.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-16 00:00:00+00:00,442851444.0,454341267.0,383076179.0,388071763.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-17 00:00:00+00:00,388071763.0,391413292.0,267649315.0,295168479.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-18 00:00:00+00:00,295168479.0,297394209.0,252498618.0,253503452.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-19 00:00:00+00:00,253503452.0,256270705.0,245421594.0,250895479.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-20 00:00:00+00:00,250895479.0,252738908.0,243757264.0,246274113.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-21 00:00:00+00:00,246274113.0,264374398.0,245398636.0,264372819.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-22 00:00:00+00:00,264372819.0,288292208.0,245858354.0,250735518.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-23 00:00:00+00:00,250735518.0,286511221.0,247338048.0,250008252.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-24 00:00:00+00:00,250008252.0,252548184.0,239938400.0,242961014.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-25 00:00:00+00:00,242961014.0,249230414.0,240120452.0,244667799.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-26 00:00:00+00:00,244667799.0,252779090.0,242318976.0,243878923.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-27 00:00:00+00:00,243878923.0,250141377.0,242227720.0,249618678.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-28 00:00:00+00:00,249618678.0,249939508.0,242146157.0,247146074.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-29 00:00:00+00:00,247146074.0,276675633.0,244804545.0,275600043.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-30 00:00:00+00:00,275600043.0,276521290.0,262898775.0,267994004.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-08-31 00:00:00+00:00,267994004.0,269266204.0,235445552.0,238931661.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-09-01 00:00:00+00:00,238931661.0,248965047.0,233934383.0,239546900.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-09-02 00:00:00+00:00,239546900.0,246636671.0,237211745.0,244955509.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-09-03 00:00:00+00:00,244955509.0,248543678.0,237488314.0,242421799.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-09-04 00:00:00+00:00,242421799.0,246721986.0,237428522.0,240914683.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-09-05 00:00:00+00:00,240914683.0,251897343.0,236239949.0,245112430.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-09-06 00:00:00+00:00,245112430.0,250139908.0,241646473.0,247191913.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
2023-09-07 00:00:00+00:00,247191913.0,249062570.0,237303593.0,241717051.0,v3,1d,LTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:09:46.637899+00:00
