ts,top_pos_ls_ratio,top_pos_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,1.31,56.67,v3,1d,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:39:59.539674+00:00
2023-07-30 00:00:00+00:00,1.29,56.37,v3,1d,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:10:00.997539+00:00
2023-07-31 00:00:00+00:00,1.3,56.47,v3,1d,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:10:00.997539+00:00
2023-08-01 00:00:00+00:00,1.29,56.39,v3,1d,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:10:00.997539+00:00
2023-08-02 00:00:00+00:00,1.24,55.32,v3,1d,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:10:00.997539+00:00
2023-08-03 00:00:00+00:00,1.19,54.32,v3,1d,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:10:00.997539+00:00
2023-08-04 00:00:00+00:00,1.12,52.8,v3,1d,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:10:00.997539+00:00
2023-08-05 00:00:00+00:00,1.15,53.51,v3,1d,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:10:00.997539+00:00
2023-08-06 00:00:00+00:00,1.18,54.12,v3,1d,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:10:00.997539+00:00
2023-08-07 00:00:00+00:00,1.22,54.86,v3,1d,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:10:00.997539+00:00
2023-08-08 00:00:00+00:00,1.23,55.21,v3,1d,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:10:00.997539+00:00
2023-08-09 00:00:00+00:00,1.22,55.04,v3,1d,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:10:00.997539+00:00
2023-08-10 00:00:00+00:00,1.19,54.36,v3,1d,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:10:00.997539+00:00
2023-08-11 00:00:00+00:00,1.15,53.46,v3,1d,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:10:00.997539+00:00
