ts,fr_close,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,0.01,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-22T21:24:23.200640+00:00
2023-07-29 00:00:00+00:00,0.01,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:37:39.422121+00:00
2023-07-30 00:00:00+00:00,0.009232,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-07-31 00:00:00+00:00,0.01,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-01 00:00:00+00:00,0.001897,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-02 00:00:00+00:00,-0.00232,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-03 00:00:00+00:00,0.001777,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-04 00:00:00+00:00,0.01,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-05 00:00:00+00:00,-0.003533,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-06 00:00:00+00:00,0.01,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-07 00:00:00+00:00,0.007387,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-08 00:00:00+00:00,0.009344,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-09 00:00:00+00:00,0.01,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-10 00:00:00+00:00,0.004847,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-11 00:00:00+00:00,0.01,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-12 00:00:00+00:00,0.007562,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-13 00:00:00+00:00,0.01,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-14 00:00:00+00:00,0.007225,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-15 00:00:00+00:00,0.01,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-16 00:00:00+00:00,-7.6e-05,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-17 00:00:00+00:00,-0.029396,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-18 00:00:00+00:00,-0.007032,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-19 00:00:00+00:00,-0.006669,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-20 00:00:00+00:00,-0.003625,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-21 00:00:00+00:00,0.001569,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-22 00:00:00+00:00,-0.012588,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-23 00:00:00+00:00,-0.007453,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-24 00:00:00+00:00,-0.008574,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-25 00:00:00+00:00,-0.014421,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-26 00:00:00+00:00,-0.017649,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-27 00:00:00+00:00,-0.003501,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-28 00:00:00+00:00,0.00841,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-29 00:00:00+00:00,0.01,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-30 00:00:00+00:00,-0.005562,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-08-31 00:00:00+00:00,-0.013976,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-09-01 00:00:00+00:00,0.000653,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-09-02 00:00:00+00:00,-0.000147,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-09-03 00:00:00+00:00,-0.005045,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-09-04 00:00:00+00:00,0.001756,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-09-05 00:00:00+00:00,-0.001341,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-09-06 00:00:00+00:00,-0.002825,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-09-07 00:00:00+00:00,-0.008483,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-09-08 00:00:00+00:00,-0.010531,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-09-09 00:00:00+00:00,-0.023813,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
2023-09-10 00:00:00+00:00,-0.036941,v3,1d,SOL,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:07.169346+00:00
