ts,long_liq,short_liq,net_liq,total_liq,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,776435.3203887,1083392.66903122,-306957.34864252,1859827.98941992,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-22T21:24:10.698954+00:00
2023-07-29 00:00:00+00:00,326921.25882183,136389.6274,190531.63142183,463310.88622183,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-23T00:37:25.401159+00:00
2023-07-30 00:00:00+00:00,201558.80235081,1645618.53601154,-1444059.73366073,1847177.3383623501,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-07-31 00:00:00+00:00,325923.158846,1091695.86819557,-765772.7093495701,1417619.02704157,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-01 00:00:00+00:00,786646.15416216,1266894.91706623,-480248.76290406997,2053541.07122839,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-02 00:00:00+00:00,488056.88528,829611.67429532,-341554.78901531996,1317668.55957532,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-03 00:00:00+00:00,454795.789384,1033905.28699923,-579109.49761523,1488701.07638323,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-04 00:00:00+00:00,414268.79178662,1058086.79312078,-643818.0013341601,1472355.5849074,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-05 00:00:00+00:00,141775.9814,1229804.9393831,-1088028.9579831,1371580.9207831,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-06 00:00:00+00:00,659911.43108832,151548.0353,508363.39578832,811459.46638832,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-07 00:00:00+00:00,862918.14412293,2123979.82181511,-1261061.6776921798,2986897.96593804,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-08 00:00:00+00:00,2829034.73317469,398067.827041,2430966.90613369,3227102.56021569,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-09 00:00:00+00:00,780170.92606632,1190898.17724511,-410727.25117879,1971069.1033114302,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-10 00:00:00+00:00,807632.9277745,242099.24187938,565533.68589512,1049732.16965388,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-11 00:00:00+00:00,447732.55466062,422431.78887184,25300.76578878,870164.34353246,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-12 00:00:00+00:00,423902.04487713,148834.6932,275067.35167713,572736.73807713,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-13 00:00:00+00:00,184248.5504,836728.73569964,-652480.18529964,1020977.28609964,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-14 00:00:00+00:00,1157149.78767113,503305.80012805,653843.98754308,1660455.5877991798,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-15 00:00:00+00:00,215196.324436,2475005.63956085,-2259809.31512485,2690201.96399685,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-16 00:00:00+00:00,697036.092463,3301527.11312548,-2604491.02066248,3998563.2055884795,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-17 00:00:00+00:00,1755569.33271025,6244734.86648293,-4489165.53377268,8000304.199193181,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-18 00:00:00+00:00,630833.590365,1404480.73579083,-773647.1454258302,2035314.3261558302,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-19 00:00:00+00:00,663312.2797498,232916.196213,430396.0835368,896228.4759628,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
2023-08-20 00:00:00+00:00,234339.8556,215473.410865,18866.444734999997,449813.266465,v3,1d,SOL,liq,/futures/liquidation/aggregated-history,2026-04-24T04:06:52.104424+00:00
