ts,oi_open,oi_high,oi_low,oi_close,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-28 00:00:00+00:00,344951606.0,372341100.0,333442714.0,352797682.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-22T21:24:07.610601+00:00
2023-07-29 00:00:00+00:00,352797682.0,373587306.0,349683052.0,362389322.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:37:21.944593+00:00
2023-07-30 00:00:00+00:00,362389322.0,367934157.0,316546953.0,324711550.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-07-31 00:00:00+00:00,324711550.0,329144923.0,314746434.0,322305198.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-01 00:00:00+00:00,322305198.0,334159596.0,305326513.0,334159596.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-02 00:00:00+00:00,334159596.0,336515341.0,302938762.0,316942191.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-03 00:00:00+00:00,316942191.0,341796452.0,309636443.0,331652388.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-04 00:00:00+00:00,331652388.0,355966361.0,325907368.0,334231336.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-05 00:00:00+00:00,334231336.0,341686785.0,327228304.0,332409085.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-06 00:00:00+00:00,332409085.0,336303244.0,312695219.0,316495475.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-07 00:00:00+00:00,316495475.0,322489252.0,295267032.0,304591444.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-08 00:00:00+00:00,304591444.0,343321843.0,301268613.0,328320413.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-09 00:00:00+00:00,328320413.0,352978638.0,328320413.0,334355508.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-10 00:00:00+00:00,334355508.0,344743967.0,327688511.0,341683726.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-11 00:00:00+00:00,341683726.0,357438169.0,340866561.0,344322227.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-12 00:00:00+00:00,344322227.0,360004760.0,337020541.0,356433698.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-13 00:00:00+00:00,356433698.0,358855724.0,331841881.0,332857293.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-14 00:00:00+00:00,332857293.0,362248255.0,324818059.0,350970304.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-15 00:00:00+00:00,350970304.0,356336599.0,311440863.0,319266968.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-16 00:00:00+00:00,319266968.0,321574737.0,274550250.0,286058429.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-17 00:00:00+00:00,286058429.0,303572770.0,215037171.0,245905192.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-18 00:00:00+00:00,245905192.0,249673194.0,228770818.0,229838572.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-19 00:00:00+00:00,229838572.0,247865830.0,229031314.0,241084550.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-20 00:00:00+00:00,241084550.0,244128755.0,235956844.0,239809964.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-21 00:00:00+00:00,239809964.0,239935443.0,217907727.0,217941934.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-22 00:00:00+00:00,217941934.0,279209501.0,217466030.0,270891804.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
2023-08-23 00:00:00+00:00,270891804.0,282445072.0,238971845.0,245667845.0,v3,1d,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T04:06:47.692411+00:00
