ts,top_acct_ls_ratio,top_acct_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,2.0,66.62,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:40:16.940838+00:00
2023-07-30 00:00:00+00:00,1.93,65.83,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-07-31 00:00:00+00:00,2.34,70.05,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-01 00:00:00+00:00,1.99,66.57,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-02 00:00:00+00:00,1.96,66.22,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-03 00:00:00+00:00,2.22,68.97,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-04 00:00:00+00:00,2.46,71.07,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-05 00:00:00+00:00,2.38,70.45,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-06 00:00:00+00:00,2.33,69.98,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-07 00:00:00+00:00,2.21,68.82,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-08 00:00:00+00:00,2.54,71.74,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-09 00:00:00+00:00,1.95,66.04,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-10 00:00:00+00:00,2.04,67.1,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-11 00:00:00+00:00,1.82,64.52,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-12 00:00:00+00:00,2.15,68.2,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-13 00:00:00+00:00,2.13,68.03,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-14 00:00:00+00:00,2.48,71.25,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-15 00:00:00+00:00,2.49,71.31,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-16 00:00:00+00:00,2.62,72.35,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-17 00:00:00+00:00,2.63,72.47,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-18 00:00:00+00:00,1.75,63.62,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-19 00:00:00+00:00,1.76,63.75,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-20 00:00:00+00:00,1.45,59.19,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-21 00:00:00+00:00,1.62,61.8,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-22 00:00:00+00:00,1.95,66.07,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-23 00:00:00+00:00,1.36,57.69,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-24 00:00:00+00:00,0.8,44.52,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-25 00:00:00+00:00,1.52,60.35,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-26 00:00:00+00:00,1.43,58.86,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-27 00:00:00+00:00,1.1,52.41,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-28 00:00:00+00:00,1.37,57.87,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-29 00:00:00+00:00,1.83,64.62,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-30 00:00:00+00:00,1.66,62.35,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-08-31 00:00:00+00:00,1.66,62.35,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-09-01 00:00:00+00:00,1.86,65.05,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-09-02 00:00:00+00:00,1.83,64.62,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-09-03 00:00:00+00:00,1.87,65.19,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-09-04 00:00:00+00:00,1.99,66.5,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-09-05 00:00:00+00:00,1.92,65.7,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-09-06 00:00:00+00:00,1.87,65.17,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-09-07 00:00:00+00:00,2.4,70.61,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-09-08 00:00:00+00:00,2.08,67.54,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-09-09 00:00:00+00:00,2.09,67.65,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
2023-09-10 00:00:00+00:00,2.04,67.07,v3,1d,SUI,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:10:18.108277+00:00
