ts,long_liq,short_liq,net_liq,total_liq,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,11034.05246,37122.57526966,-26088.522809660004,48156.62772966,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-23T00:39:29.836431+00:00
2023-07-30 00:00:00+00:00,0.0,496412.65259126,-496412.65259126,496412.65259126,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-07-31 00:00:00+00:00,5110.92051,351533.28142604,-346422.36091603996,356644.20193604,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-01 00:00:00+00:00,26391.87884,549673.2652351,-523281.38639510004,576065.1440751001,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-02 00:00:00+00:00,5257.51683,48183.10589316,-42925.58906316,53440.62272316,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-03 00:00:00+00:00,15228.5196,160928.93307786,-145700.41347786,176157.45267786,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-04 00:00:00+00:00,10015.16984,74132.745628,-64117.575788,84147.915468,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-05 00:00:00+00:00,8649.5518772,86578.5554971,-77929.0036199,95228.10737429999,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-06 00:00:00+00:00,74.65908,2655.60774,-2580.94866,2730.26682,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-07 00:00:00+00:00,8710.10576,49905.2661082,-41195.1603482,58615.371868199996,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-08 00:00:00+00:00,47703.907398,60080.68095,-12376.773551999999,107784.588348,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-09 00:00:00+00:00,188.02402,22402.6350846,-22214.611064599998,22590.6591046,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-10 00:00:00+00:00,7125.80828,1019.925,6105.88328,8145.73328,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-11 00:00:00+00:00,0.0,632.51995,-632.51995,632.51995,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-12 00:00:00+00:00,1529.55222,2597.54559,-1067.9933700000001,4127.09781,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-13 00:00:00+00:00,1497.11761,6288.61035,-4791.49274,7785.72796,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-14 00:00:00+00:00,15512.0,4492.75628,11019.24372,20004.75628,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-15 00:00:00+00:00,44230.28896,145656.903176,-101426.61421599999,189887.192136,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-16 00:00:00+00:00,7040.04562,827551.18917821,-820511.14355821,834591.23479821,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-17 00:00:00+00:00,274850.25848,1381918.917237,-1107068.658757,1656769.1757170002,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-18 00:00:00+00:00,5109.09003,4786.37975,322.71028000000024,9895.46978,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-19 00:00:00+00:00,7249.848222,292.30658,6957.541641999999,7542.154802,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-20 00:00:00+00:00,285658.376994,8092.9326,277565.444394,293751.309594,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-21 00:00:00+00:00,25400.53782,107504.89856872,-82104.36074872,132905.43638872,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-22 00:00:00+00:00,46491.44049,76990.47232,-30499.03183,123481.91281000001,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-23 00:00:00+00:00,121665.45600272,471.99252,121193.46348272,122137.44852272,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-24 00:00:00+00:00,7318.92085,12708.61106,-5389.690209999999,20027.531909999998,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-25 00:00:00+00:00,1997.69006,2801.01436,-803.3243000000002,4798.70442,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-26 00:00:00+00:00,1730.52873,142.0829,1588.4458300000001,1872.6116299999999,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-27 00:00:00+00:00,1064.92937,94.09845,970.8309200000001,1159.02782,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-28 00:00:00+00:00,76.66761,60305.01119124,-60228.343581240006,60381.67880124,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-29 00:00:00+00:00,120902.090011,12921.94934253,107980.14066846999,133824.03935352998,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-30 00:00:00+00:00,2927.78622,49116.339877,-46188.553657,52044.126097,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-08-31 00:00:00+00:00,21658.51655,100673.96327,-79015.44671999999,122332.47982,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-01 00:00:00+00:00,21082.69644,65243.0385,-44160.34206,86325.73494,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-02 00:00:00+00:00,13652.80836,515.65179,13137.156570000001,14168.46015,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-03 00:00:00+00:00,24666.72242,133.67967,24533.042749999997,24800.40209,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-04 00:00:00+00:00,18146.01186,8326.7478,9819.26406,26472.759659999996,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-05 00:00:00+00:00,19473.93291892,1769.16256,17704.77035892,21243.09547892,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-06 00:00:00+00:00,111499.022764,4055.4028,107443.619964,115554.42556399999,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-07 00:00:00+00:00,157220.59411,30210.71592,127009.87819,187431.31003,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-08 00:00:00+00:00,11568.0854,13531.01462,-1962.92922,25099.100019999998,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-09 00:00:00+00:00,464.78246,189.13506,275.6474,653.91752,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-10 00:00:00+00:00,60724.33895,53879.53052972,6844.808420279995,114603.86947972,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-11 00:00:00+00:00,58386.52282,22104.813828,36281.708992,80491.336648,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-12 00:00:00+00:00,731300.0164301,7430.82199,723869.1944401,738730.8384200999,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-13 00:00:00+00:00,34056.02553,9342.301308,24713.724221999997,43398.326838,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-14 00:00:00+00:00,288693.43306354,7860.58784,280832.84522354003,296554.02090354,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-15 00:00:00+00:00,154947.50350699,10354.41159834,144593.09190865,165301.91510533,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
2023-09-16 00:00:00+00:00,72097.838431,1457.6,70640.23843099999,73555.438431,v3,1d,TRX,liq,/futures/liquidation/aggregated-history,2026-04-24T04:09:30.036085+00:00
