ts,top_pos_ls_ratio,top_pos_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,0.9,47.28,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:39:40.464528+00:00
2023-07-30 00:00:00+00:00,0.95,48.69,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-07-31 00:00:00+00:00,0.98,49.57,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-01 00:00:00+00:00,1.02,50.54,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-02 00:00:00+00:00,1.03,50.81,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-03 00:00:00+00:00,0.99,49.66,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-04 00:00:00+00:00,1.0,49.87,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-05 00:00:00+00:00,1.01,50.14,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-06 00:00:00+00:00,1.01,50.28,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-07 00:00:00+00:00,1.01,50.18,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-08 00:00:00+00:00,0.98,49.53,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-09 00:00:00+00:00,0.97,49.29,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-10 00:00:00+00:00,0.95,48.59,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-11 00:00:00+00:00,0.94,48.44,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-12 00:00:00+00:00,0.95,48.68,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-13 00:00:00+00:00,0.95,48.8,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-14 00:00:00+00:00,0.97,49.31,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-15 00:00:00+00:00,0.99,49.65,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-16 00:00:00+00:00,0.96,48.99,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-17 00:00:00+00:00,0.93,48.17,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-18 00:00:00+00:00,0.98,49.4,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-19 00:00:00+00:00,1.0,50.01,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-20 00:00:00+00:00,0.95,48.72,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-21 00:00:00+00:00,0.95,48.76,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-22 00:00:00+00:00,0.93,48.27,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-23 00:00:00+00:00,0.92,47.91,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-24 00:00:00+00:00,0.91,47.7,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-25 00:00:00+00:00,0.91,47.68,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-26 00:00:00+00:00,0.89,46.98,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-27 00:00:00+00:00,0.94,48.41,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-28 00:00:00+00:00,0.96,49.07,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-29 00:00:00+00:00,0.89,46.95,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
2023-08-30 00:00:00+00:00,0.91,47.71,v3,1d,TRX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T04:09:39.869429+00:00
