ts,fr_close,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,0.01,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:38:00.152340+00:00
2023-07-30 00:00:00+00:00,0.00911,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-07-31 00:00:00+00:00,-0.00272,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-01 00:00:00+00:00,0.01,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-02 00:00:00+00:00,0.000739,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-03 00:00:00+00:00,0.01,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-04 00:00:00+00:00,0.007068,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-05 00:00:00+00:00,0.01,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-06 00:00:00+00:00,0.01,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-07 00:00:00+00:00,0.007606,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-08 00:00:00+00:00,0.001197,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-09 00:00:00+00:00,0.008561,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-10 00:00:00+00:00,0.01,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-11 00:00:00+00:00,0.01,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-12 00:00:00+00:00,0.007329,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-13 00:00:00+00:00,0.01,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-14 00:00:00+00:00,0.007825,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-15 00:00:00+00:00,-0.004997,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-16 00:00:00+00:00,0.001534,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-17 00:00:00+00:00,0.01,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-18 00:00:00+00:00,-0.007377,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-19 00:00:00+00:00,-0.004927,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-20 00:00:00+00:00,-0.001442,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-21 00:00:00+00:00,-0.01097,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-22 00:00:00+00:00,-0.010141,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-23 00:00:00+00:00,-0.01524,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-24 00:00:00+00:00,-0.000153,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-25 00:00:00+00:00,-0.003031,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-26 00:00:00+00:00,0.006628,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-27 00:00:00+00:00,0.000197,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-28 00:00:00+00:00,0.00138,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-29 00:00:00+00:00,0.01,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-30 00:00:00+00:00,-0.005619,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-08-31 00:00:00+00:00,-0.006764,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-01 00:00:00+00:00,-0.014205,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-02 00:00:00+00:00,-0.010944,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-03 00:00:00+00:00,0.004336,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-04 00:00:00+00:00,0.001818,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-05 00:00:00+00:00,-0.004648,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-06 00:00:00+00:00,0.004591,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-07 00:00:00+00:00,-0.003229,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-08 00:00:00+00:00,0.001312,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-09 00:00:00+00:00,0.01,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-10 00:00:00+00:00,0.002615,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-11 00:00:00+00:00,-0.02101,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-12 00:00:00+00:00,-0.011664,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-13 00:00:00+00:00,0.002733,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-14 00:00:00+00:00,0.00112,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-15 00:00:00+00:00,0.00023,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-16 00:00:00+00:00,0.003973,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-17 00:00:00+00:00,-0.000444,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-18 00:00:00+00:00,0.004836,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-19 00:00:00+00:00,-0.005987,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-20 00:00:00+00:00,0.001102,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-21 00:00:00+00:00,0.007361,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-22 00:00:00+00:00,0.004345,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-23 00:00:00+00:00,0.004303,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-24 00:00:00+00:00,0.003094,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-25 00:00:00+00:00,-0.001364,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-26 00:00:00+00:00,-0.003257,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-27 00:00:00+00:00,0.007318,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-28 00:00:00+00:00,0.005789,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-29 00:00:00+00:00,0.004835,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-09-30 00:00:00+00:00,0.01,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
2023-10-01 00:00:00+00:00,0.01,v3,1d,XRP,fr,/futures/fundingRate/ohlc-history,2026-04-24T04:07:58.563290+00:00
