ts,global_ls_ratio,global_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,2.53,71.7,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:37:49.853533+00:00
2023-07-30 00:00:00+00:00,2.63,72.45,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-07-31 00:00:00+00:00,3.16,75.93,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-08-01 00:00:00+00:00,3.23,76.34,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-08-02 00:00:00+00:00,3.0,75.01,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-08-03 00:00:00+00:00,3.56,78.06,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-08-04 00:00:00+00:00,3.11,75.65,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-08-05 00:00:00+00:00,3.42,77.38,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-08-06 00:00:00+00:00,3.23,76.34,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-08-07 00:00:00+00:00,3.37,77.13,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-08-08 00:00:00+00:00,3.48,77.68,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-08-09 00:00:00+00:00,3.13,75.78,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-08-10 00:00:00+00:00,2.91,74.4,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-08-11 00:00:00+00:00,3.16,75.95,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-08-12 00:00:00+00:00,3.35,77.0,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-08-13 00:00:00+00:00,3.77,79.03,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
2023-08-14 00:00:00+00:00,4.2,80.77,v3,1d,XRP,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T04:07:18.379719+00:00
