ts,long_liq,short_liq,net_liq,total_liq,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,450057.42852,202006.27881982,248051.14970018,652063.70733982,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-23T00:37:46.823893+00:00
2023-07-30 00:00:00+00:00,1944632.1035977,2201381.43210576,-256749.3285080602,4146013.5357034598,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-07-31 00:00:00+00:00,1909439.42737773,1662059.73011543,247379.69726229995,3571499.15749316,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-01 00:00:00+00:00,1049171.01079773,1880480.74757721,-831309.73677948,2929651.7583749397,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-02 00:00:00+00:00,338868.68783,2361620.65997019,-2022751.97214019,2700489.34780019,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-03 00:00:00+00:00,368168.60644656,2144191.4678322,-1776022.8613856402,2512360.0742787602,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-04 00:00:00+00:00,305825.51004385,4024608.94610082,-3718783.4360569697,4330434.45614467,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-05 00:00:00+00:00,700010.024938,3115533.29999753,-2415523.27505953,3815543.32493553,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-06 00:00:00+00:00,783522.10198238,502443.32817033,281078.77381205006,1285965.43015271,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-07 00:00:00+00:00,841224.356296,3251389.28324433,-2410164.92694833,4092613.63954033,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-08 00:00:00+00:00,2278535.10727828,440126.52146744,1838408.58581084,2718661.62874572,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-09 00:00:00+00:00,2520136.64298017,1741314.07639067,778822.5665895,4261450.71937084,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-10 00:00:00+00:00,493010.6630848,959769.9731896,-466759.31010480004,1452780.6362744002,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-11 00:00:00+00:00,197270.23315,342432.30517,-145162.07202000002,539702.53832,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-12 00:00:00+00:00,35984.41896,202858.20015,-166873.78118999998,238842.61911,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-13 00:00:00+00:00,535308.20255,613132.7116732,-77824.50912319997,1148440.9142232002,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-14 00:00:00+00:00,234474.9080652,195675.29637971,38799.61168549,430150.20444491,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-15 00:00:00+00:00,277242.57573299,4315759.45164206,-4038516.8759090696,4593002.02737505,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-16 00:00:00+00:00,451345.52154102,3841294.76157078,-3389949.24002976,4292640.2831118,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-17 00:00:00+00:00,1876948.01122933,22978502.59303182,-21101554.58180249,24855450.60426115,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-18 00:00:00+00:00,2267985.16704527,2975260.84318168,-707275.6761364099,5243246.01022695,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-19 00:00:00+00:00,1813131.91881,744868.77404935,1068263.1447606501,2558000.69285935,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-20 00:00:00+00:00,2495204.74193012,1125532.72095732,1369672.0209728002,3620737.46288744,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
2023-08-21 00:00:00+00:00,1262402.81776,2404719.76256849,-1142316.94480849,3667122.58032849,v3,1d,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T04:07:14.088874+00:00
