ts,top_acct_ls_ratio,top_acct_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2023-07-29 00:00:00+00:00,2.43,70.86,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:37:52.970308+00:00
2023-07-30 00:00:00+00:00,2.43,70.84,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-07-31 00:00:00+00:00,2.9,74.34,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-01 00:00:00+00:00,2.83,73.88,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-02 00:00:00+00:00,2.62,72.34,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-03 00:00:00+00:00,3.24,76.4,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-04 00:00:00+00:00,3.05,75.33,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-05 00:00:00+00:00,3.42,77.35,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-06 00:00:00+00:00,3.22,76.32,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-07 00:00:00+00:00,3.37,77.1,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-08 00:00:00+00:00,3.34,76.96,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-09 00:00:00+00:00,2.97,74.8,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-10 00:00:00+00:00,2.84,73.97,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-11 00:00:00+00:00,3.09,75.53,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-12 00:00:00+00:00,3.31,76.78,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-13 00:00:00+00:00,3.52,77.89,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-14 00:00:00+00:00,3.87,79.45,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-15 00:00:00+00:00,3.46,77.56,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-16 00:00:00+00:00,4.13,80.52,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-17 00:00:00+00:00,4.08,80.3,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-18 00:00:00+00:00,3.29,76.71,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-19 00:00:00+00:00,2.91,74.44,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-20 00:00:00+00:00,2.89,74.3,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-21 00:00:00+00:00,2.3,69.67,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-22 00:00:00+00:00,2.88,74.21,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-23 00:00:00+00:00,3.0,75.0,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-24 00:00:00+00:00,2.57,72.01,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-25 00:00:00+00:00,2.78,73.51,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-26 00:00:00+00:00,2.4,70.59,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-27 00:00:00+00:00,2.37,70.33,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-28 00:00:00+00:00,2.44,70.95,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-29 00:00:00+00:00,2.42,70.72,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
2023-08-30 00:00:00+00:00,2.11,67.83,v3,1d,XRP,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T04:07:51.845485+00:00
