ts,top_pos_ls_ratio,top_pos_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 00:00:00+00:00,1.47,59.43,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-22T21:19:56.064659+00:00
2025-10-25 04:00:00+00:00,1.44,59.07,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:09.701210+00:00
2025-10-25 08:00:00+00:00,1.43,58.91,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:09.701210+00:00
2025-10-25 12:00:00+00:00,1.43,58.85,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:09.701210+00:00
2025-10-25 16:00:00+00:00,1.45,59.1,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:09.701210+00:00
2025-10-25 20:00:00+00:00,1.44,59.0,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:09.701210+00:00
2025-10-26 00:00:00+00:00,1.45,59.11,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:09.701210+00:00
2025-10-26 04:00:00+00:00,1.51,60.16,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:05.602976+00:00
2025-10-26 08:00:00+00:00,1.51,60.18,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:05.602976+00:00
2025-10-26 12:00:00+00:00,1.5,60.05,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:05.602976+00:00
2025-10-26 16:00:00+00:00,1.52,60.3,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:05.602976+00:00
2025-10-26 20:00:00+00:00,1.53,60.42,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:05.602976+00:00
2025-10-27 00:00:00+00:00,1.52,60.38,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:05.602976+00:00
2025-10-27 04:00:00+00:00,1.55,60.73,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:05.602976+00:00
2025-10-27 08:00:00+00:00,1.63,61.98,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:05.602976+00:00
2025-10-27 12:00:00+00:00,1.74,63.5,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:05.602976+00:00
2025-10-27 16:00:00+00:00,1.64,62.13,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:05.602976+00:00
2025-10-27 20:00:00+00:00,1.65,62.3,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:05.602976+00:00
2025-10-28 00:00:00+00:00,1.68,62.74,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-25T23:53:57.339697+00:00
2025-10-28 04:00:00+00:00,1.66,62.35,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-28 08:00:00+00:00,1.65,62.25,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-28 12:00:00+00:00,1.65,62.23,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-28 16:00:00+00:00,1.65,62.26,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-28 20:00:00+00:00,1.63,61.99,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-29 00:00:00+00:00,1.48,59.6,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-29 04:00:00+00:00,1.4,58.3,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-29 08:00:00+00:00,1.35,57.35,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-29 12:00:00+00:00,1.36,57.65,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-29 16:00:00+00:00,1.35,57.4,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-29 20:00:00+00:00,1.36,57.53,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-30 00:00:00+00:00,1.36,57.57,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-30 04:00:00+00:00,1.34,57.27,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-30 08:00:00+00:00,1.33,57.06,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-30 12:00:00+00:00,1.32,56.89,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-30 16:00:00+00:00,1.32,56.84,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-30 20:00:00+00:00,1.33,56.99,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-31 00:00:00+00:00,1.22,54.9,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-31 04:00:00+00:00,1.17,53.93,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-31 08:00:00+00:00,1.18,54.02,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-31 12:00:00+00:00,1.17,53.97,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
2025-10-31 16:00:00+00:00,1.17,54.0,v3,4h,BNB,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:12:55.716783+00:00
