ts,oi_open,oi_high,oi_low,oi_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 00:00:00+00:00,71151313612.0,71419361636.0,70755405154.0,71296411759.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-22T21:19:02.777159+00:00
2025-10-25 04:00:00+00:00,71296411759.0,71775386710.0,71163054865.0,71602966259.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:23:15.791907+00:00
2025-10-25 08:00:00+00:00,71602966259.0,71896108855.0,71520734075.0,71741341183.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:23:15.791907+00:00
2025-10-25 12:00:00+00:00,71741341183.0,71927962663.0,71108188292.0,71150143525.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:23:15.791907+00:00
2025-10-25 16:00:00+00:00,71150143525.0,71512554898.0,71082050723.0,71432245022.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:23:15.791907+00:00
2025-10-25 20:00:00+00:00,71432245022.0,71446258212.0,71142360084.0,71381188948.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:23:15.791907+00:00
2025-10-26 00:00:00+00:00,71381188948.0,71578028131.0,71209705953.0,71250403624.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:23:15.791907+00:00
2025-10-26 04:00:00+00:00,71250403624.0,71539806273.0,71250403624.0,71520305722.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:12.169203+00:00
2025-10-26 08:00:00+00:00,71520305722.0,72883293959.0,71504384973.0,72883293959.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:12.169203+00:00
2025-10-26 12:00:00+00:00,72883293959.0,74051260770.0,72883293959.0,73984446723.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:12.169203+00:00
2025-10-26 16:00:00+00:00,73984446723.0,74014505349.0,73701326488.0,73901102088.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:12.169203+00:00
2025-10-26 20:00:00+00:00,73901102088.0,74337579579.0,73187373313.0,74211409068.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:12.169203+00:00
2025-10-27 00:00:00+00:00,74211409068.0,75464220018.0,74172009095.0,75143803056.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:12.169203+00:00
2025-10-27 04:00:00+00:00,75143803056.0,76402375126.0,75118984362.0,76011562054.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:12.169203+00:00
2025-10-27 08:00:00+00:00,76011562054.0,76011562054.0,75437841741.0,75930796244.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:12.169203+00:00
2025-10-27 12:00:00+00:00,75930796244.0,75939045183.0,75340022726.0,75637689668.0,v3,4h,BTC,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:12.169203+00:00
