ts,fr_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 00:00:00+00:00,0.003264,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-22T21:19:38.154776+00:00
2025-10-25 04:00:00+00:00,0.001517,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:23:53.228445+00:00
2025-10-25 08:00:00+00:00,0.004981,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:23:53.228445+00:00
2025-10-25 12:00:00+00:00,0.006394,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:23:53.228445+00:00
2025-10-25 16:00:00+00:00,0.01,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:23:53.228445+00:00
2025-10-25 20:00:00+00:00,0.01,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:23:53.228445+00:00
2025-10-26 00:00:00+00:00,0.003547,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:23:53.228445+00:00
2025-10-26 04:00:00+00:00,0.002079,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:51:49.205606+00:00
2025-10-26 08:00:00+00:00,0.006503,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:51:49.205606+00:00
2025-10-26 12:00:00+00:00,0.01,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:51:49.205606+00:00
2025-10-26 16:00:00+00:00,0.01,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:51:49.205606+00:00
2025-10-26 20:00:00+00:00,0.01,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:51:49.205606+00:00
2025-10-27 00:00:00+00:00,0.007762,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:51:49.205606+00:00
2025-10-27 04:00:00+00:00,0.01,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:51:49.205606+00:00
2025-10-27 08:00:00+00:00,0.01,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:51:49.205606+00:00
2025-10-27 12:00:00+00:00,0.007848,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:51:49.205606+00:00
2025-10-27 16:00:00+00:00,0.003736,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:51:49.205606+00:00
2025-10-27 20:00:00+00:00,0.003949,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:51:49.205606+00:00
2025-10-28 00:00:00+00:00,0.004902,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-25T23:53:42.418172+00:00
2025-10-28 04:00:00+00:00,0.004642,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:12:41.210686+00:00
2025-10-28 08:00:00+00:00,0.002163,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:12:41.210686+00:00
2025-10-28 12:00:00+00:00,0.001754,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:12:41.210686+00:00
2025-10-28 16:00:00+00:00,0.004974,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:12:41.210686+00:00
2025-10-28 20:00:00+00:00,-0.005131,v3,4h,ETH,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:12:41.210686+00:00
