ts,oi_open,oi_high,oi_low,oi_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 00:00:00+00:00,45736446888.0,45745588764.0,45374826906.0,45727074479.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-22T21:19:22.380604+00:00
2025-10-25 04:00:00+00:00,45632381186.0,46036763360.0,45632381186.0,45983356506.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:23:35.619679+00:00
2025-10-25 08:00:00+00:00,45848029596.0,46289507811.0,45848029596.0,46141211455.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:23:35.619679+00:00
2025-10-25 12:00:00+00:00,46282567025.0,46438103773.0,46098214171.0,46149606527.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:23:35.619679+00:00
2025-10-25 16:00:00+00:00,45923683483.0,46004330082.0,45824664713.0,45976174288.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:23:35.619679+00:00
2025-10-25 20:00:00+00:00,45927570306.0,45948251901.0,45562987612.0,45773795188.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:23:35.619679+00:00
2025-10-26 00:00:00+00:00,45715758038.0,45801251849.0,45361928547.0,45466275295.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:23:35.619679+00:00
2025-10-26 04:00:00+00:00,45558840826.0,45854010678.0,45558840826.0,45853243608.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:32.627715+00:00
2025-10-26 08:00:00+00:00,45892255370.0,46737468436.0,45892255370.0,46711162529.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:32.627715+00:00
2025-10-26 12:00:00+00:00,47248632794.0,48662211298.0,47248632794.0,48589050234.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:32.627715+00:00
2025-10-26 16:00:00+00:00,48831475718.0,48831475718.0,48326915930.0,48639823578.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:32.627715+00:00
2025-10-26 20:00:00+00:00,48594008938.0,49396925673.0,48402191412.0,49277909677.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:32.627715+00:00
2025-10-27 00:00:00+00:00,49483802847.0,50458828108.0,49454989118.0,50356142767.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:32.627715+00:00
2025-10-27 04:00:00+00:00,50570207016.0,51240876185.0,50429776143.0,51077964196.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:32.627715+00:00
2025-10-27 08:00:00+00:00,50835996238.0,50845682510.0,49971456124.0,50088223912.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:32.627715+00:00
2025-10-27 12:00:00+00:00,49892555096.0,50340980257.0,49699320951.0,49954740047.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:32.627715+00:00
2025-10-27 16:00:00+00:00,50210241096.0,50815274126.0,50210241096.0,50636832080.0,v3,4h,ETH,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:51:32.627715+00:00
