ts,top_acct_ls_ratio,top_acct_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 00:00:00+00:00,2.98,74.89,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-22T21:19:31.981539+00:00
2025-10-25 04:00:00+00:00,2.89,74.32,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:23:46.164367+00:00
2025-10-25 08:00:00+00:00,2.89,74.32,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:23:46.164367+00:00
2025-10-25 12:00:00+00:00,2.78,73.52,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:23:46.164367+00:00
2025-10-25 16:00:00+00:00,2.78,73.52,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:23:46.164367+00:00
2025-10-25 20:00:00+00:00,2.72,73.11,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:23:46.164367+00:00
2025-10-26 00:00:00+00:00,2.72,73.11,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:23:46.164367+00:00
2025-10-26 04:00:00+00:00,2.91,74.39,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-26 08:00:00+00:00,2.91,74.39,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-26 12:00:00+00:00,2.28,69.54,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-26 16:00:00+00:00,2.28,69.54,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-26 20:00:00+00:00,1.89,65.37,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-27 00:00:00+00:00,1.89,65.37,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-27 04:00:00+00:00,1.88,65.31,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-27 08:00:00+00:00,1.88,65.31,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-27 12:00:00+00:00,1.96,66.2,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-27 16:00:00+00:00,1.96,66.2,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-27 20:00:00+00:00,1.87,65.09,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-28 00:00:00+00:00,1.87,65.09,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-28 04:00:00+00:00,2.16,68.32,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-28 08:00:00+00:00,2.16,68.32,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-28 12:00:00+00:00,2.23,69.02,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-28 16:00:00+00:00,2.23,69.02,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-28 20:00:00+00:00,2.37,70.3,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-29 00:00:00+00:00,2.37,70.3,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-29 04:00:00+00:00,2.95,74.71,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-29 08:00:00+00:00,2.95,74.71,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-29 12:00:00+00:00,2.93,74.52,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-29 16:00:00+00:00,2.93,74.52,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-29 20:00:00+00:00,3.37,77.12,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-30 00:00:00+00:00,3.37,77.12,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-30 04:00:00+00:00,3.28,76.65,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-30 08:00:00+00:00,3.28,76.65,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-30 12:00:00+00:00,3.43,77.42,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-30 16:00:00+00:00,3.43,77.42,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-30 20:00:00+00:00,4.09,80.36,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-31 00:00:00+00:00,4.09,80.36,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-31 04:00:00+00:00,3.57,78.11,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-31 08:00:00+00:00,3.57,78.11,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-31 12:00:00+00:00,3.27,76.57,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-31 16:00:00+00:00,3.27,76.57,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-10-31 20:00:00+00:00,3.11,75.67,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-01 00:00:00+00:00,3.11,75.67,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-01 04:00:00+00:00,3.34,76.94,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-01 08:00:00+00:00,3.34,76.94,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-01 12:00:00+00:00,3.09,75.52,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-01 16:00:00+00:00,3.09,75.52,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-01 20:00:00+00:00,3.09,75.56,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-02 00:00:00+00:00,3.09,75.56,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-02 04:00:00+00:00,3.12,75.7,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-02 08:00:00+00:00,3.12,75.7,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-02 12:00:00+00:00,3.25,76.46,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-02 16:00:00+00:00,3.25,76.46,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-02 20:00:00+00:00,3.28,76.61,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-03 00:00:00+00:00,3.28,76.61,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-03 04:00:00+00:00,3.86,79.44,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
2025-11-03 08:00:00+00:00,3.86,79.44,v3,4h,ETH,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:51:42.908165+00:00
