ts,top_pos_ls_ratio,top_pos_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 00:00:00+00:00,2.99,74.92,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-22T21:19:34.928785+00:00
2025-10-25 04:00:00+00:00,2.84,73.98,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:23:49.531412+00:00
2025-10-25 08:00:00+00:00,2.84,73.98,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:23:49.531412+00:00
2025-10-25 12:00:00+00:00,2.83,73.9,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:23:49.531412+00:00
2025-10-25 16:00:00+00:00,2.83,73.9,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:23:49.531412+00:00
2025-10-25 20:00:00+00:00,2.95,74.67,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:23:49.531412+00:00
2025-10-26 00:00:00+00:00,2.95,74.67,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:23:49.531412+00:00
2025-10-26 04:00:00+00:00,2.79,73.61,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-26 08:00:00+00:00,2.79,73.61,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-26 12:00:00+00:00,2.74,73.24,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-26 16:00:00+00:00,2.74,73.24,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-26 20:00:00+00:00,2.76,73.39,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-27 00:00:00+00:00,2.76,73.39,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-27 04:00:00+00:00,2.78,73.54,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-27 08:00:00+00:00,2.78,73.54,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-27 12:00:00+00:00,3.06,75.39,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-27 16:00:00+00:00,3.06,75.39,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-27 20:00:00+00:00,2.92,74.49,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-28 00:00:00+00:00,2.92,74.49,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-28 04:00:00+00:00,3.14,75.86,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-28 08:00:00+00:00,3.14,75.86,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-28 12:00:00+00:00,3.13,75.79,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-28 16:00:00+00:00,3.13,75.79,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-28 20:00:00+00:00,3.14,75.84,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
2025-10-29 00:00:00+00:00,3.14,75.84,v3,4h,ETH,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:51:45.788750+00:00
