ts,fr_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 04:00:00+00:00,0.007464,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:26:07.637855+00:00
2025-10-25 08:00:00+00:00,0.008814,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:26:07.637855+00:00
2025-10-25 12:00:00+00:00,0.006776,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:26:07.637855+00:00
2025-10-25 16:00:00+00:00,0.006684,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:26:07.637855+00:00
2025-10-25 20:00:00+00:00,0.006307,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:26:07.637855+00:00
2025-10-26 00:00:00+00:00,0.008559,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:26:07.637855+00:00
2025-10-26 04:00:00+00:00,0.005252,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-26 08:00:00+00:00,0.008817,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-26 12:00:00+00:00,0.006822,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-26 16:00:00+00:00,0.01,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-26 20:00:00+00:00,0.01,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-27 00:00:00+00:00,0.01,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-27 04:00:00+00:00,0.01,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-27 08:00:00+00:00,0.01,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-27 12:00:00+00:00,0.004131,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-27 16:00:00+00:00,0.01,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-27 20:00:00+00:00,0.01,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-28 00:00:00+00:00,0.005917,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-28 04:00:00+00:00,0.005446,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-28 08:00:00+00:00,0.003503,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-28 12:00:00+00:00,0.006016,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-28 16:00:00+00:00,0.002626,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-28 20:00:00+00:00,-0.008627,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-29 00:00:00+00:00,-0.003243,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-29 04:00:00+00:00,-0.00584,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-29 08:00:00+00:00,0.005673,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-29 12:00:00+00:00,0.01,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-29 16:00:00+00:00,0.01,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-29 20:00:00+00:00,0.01,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-30 00:00:00+00:00,0.008214,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-30 04:00:00+00:00,0.002867,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-30 08:00:00+00:00,-0.01391,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-30 12:00:00+00:00,-0.010944,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-30 16:00:00+00:00,-0.013763,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
2025-10-30 20:00:00+00:00,-0.018602,v3,4h,LINK,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:53:55.042464+00:00
