ts,long_liq,short_liq,net_liq,total_liq,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 04:00:00+00:00,3837.51302,1739.18932,2098.3237,5576.70234,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-23T00:25:52.867923+00:00
2025-10-25 08:00:00+00:00,2139.7619,4212.41974,-2072.6578400000003,6352.181640000001,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-23T00:25:52.867923+00:00
2025-10-25 12:00:00+00:00,1894.98512,384.87957,1510.10555,2279.86469,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-23T00:25:52.867923+00:00
2025-10-25 16:00:00+00:00,53786.39953,182.40196,53603.99757,53968.801490000005,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-23T00:25:52.867923+00:00
2025-10-25 20:00:00+00:00,23264.25192927,6487.1143,16777.13762927,29751.366229270003,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-23T00:25:52.867923+00:00
2025-10-26 00:00:00+00:00,0.0,301577.54428,-301577.54428,301577.54428,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-23T00:25:52.867923+00:00
2025-10-26 04:00:00+00:00,104.37246,61.64078,42.731680000000004,166.01324,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-26 08:00:00+00:00,218344.938546,12452.6277,205892.31084599998,230797.566246,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-26 12:00:00+00:00,160208.515376,6394.280365,153814.23501099998,166602.795741,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-26 16:00:00+00:00,98.41872,18203.44069,-18105.021969999998,18301.85941,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-26 20:00:00+00:00,170029.51865,215699.18768,-45669.66902999999,385728.70633,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-27 00:00:00+00:00,151339.098968,428.417143,150910.681825,151767.516111,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-27 04:00:00+00:00,28132.499522,47619.347939,-19486.848417,75751.847461,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-27 08:00:00+00:00,244.98696,158494.95375405,-158249.96679404998,158739.94071405,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-27 12:00:00+00:00,1795.91762,102029.23133997,-100233.31371997001,103825.14895997,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-27 16:00:00+00:00,25515.35838,50585.58075,-25070.22237,76100.93913,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-27 20:00:00+00:00,1179.76228,245529.947886,-244350.185606,246709.710166,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-28 00:00:00+00:00,1105.98478,73645.03224,-72539.04746,74751.01702,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-28 04:00:00+00:00,18654.15203,17794.64983,859.5022000000026,36448.80186,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-28 08:00:00+00:00,10969.13501,3684.37202,7284.76299,14653.50703,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-28 12:00:00+00:00,11569.27619,164126.08421991,-152556.80802991,175695.36040991,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-28 16:00:00+00:00,27818.07263,553411.16630996,-525593.09367996,581229.2389399599,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-28 20:00:00+00:00,311954.92298,1176945.829973,-864990.9069930001,1488900.7529530001,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-29 00:00:00+00:00,57930.63598915,825.93442,57104.701569150006,58756.57040915,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-29 04:00:00+00:00,1045.54,398.34259,647.19741,1443.88259,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-29 08:00:00+00:00,66811.02851,5736.65733,61074.37118,72547.68584,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-29 12:00:00+00:00,20722.76968,156236.07578,-135513.30610000002,176958.84546,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-29 16:00:00+00:00,152253.53953,739633.771347,-587380.2318170001,891887.310877,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-29 20:00:00+00:00,205462.441682,258609.24604,-53146.804357999994,464071.687722,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-30 00:00:00+00:00,3649.78311,3805.15683,-155.37372000000005,7454.93994,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-30 04:00:00+00:00,192423.59612,538811.496667,-346387.900547,731235.092787,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-30 08:00:00+00:00,59.82267,341677.14185268,-341617.31918268,341736.96452268003,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-30 12:00:00+00:00,10132.33903,1265572.83297093,-1255440.49394093,1275705.17200093,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-30 16:00:00+00:00,7180.46089,1735107.94838174,-1727927.48749174,1742288.40927174,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-30 20:00:00+00:00,7885.90566,16361.7499,-8475.84424,24247.65556,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-31 00:00:00+00:00,6291.33417,16931.91511,-10640.580940000002,23223.249280000004,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-31 04:00:00+00:00,9919.98645,480.62628,9439.36017,10400.61273,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-31 08:00:00+00:00,6772.14272,2013.71492,4758.4277999999995,8785.85764,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-31 12:00:00+00:00,35292.30121,22925.56349,12366.737719999997,58217.8647,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-31 16:00:00+00:00,51986.72702925,398533.37951,-346546.65248075,450520.10653925,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-10-31 20:00:00+00:00,119.18744,2409.78713,-2290.59969,2528.9745700000003,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-11-01 00:00:00+00:00,3896.0135,8191.25379,-4295.24029,12087.26729,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-11-01 04:00:00+00:00,317.85928,16713.60902,-16395.74974,17031.4683,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-11-01 08:00:00+00:00,40272.13698,116.92552,40155.211460000006,40389.0625,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-11-01 12:00:00+00:00,708.42958,24363.88244,-23655.45286,25072.31202,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-11-01 16:00:00+00:00,9454.08474,175150.21172,-165696.12698,184604.29645999998,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
2025-11-01 20:00:00+00:00,4021.40833,41184.82844,-37163.42011,45206.236769999996,v3,4h,LINK,liq,/futures/liquidation/aggregated-history,2026-04-24T03:53:40.805089+00:00
