ts,fr_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 04:00:00+00:00,-0.002477,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:27:07.770549+00:00
2025-10-25 08:00:00+00:00,-0.001748,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:27:07.770549+00:00
2025-10-25 12:00:00+00:00,0.001674,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:27:07.770549+00:00
2025-10-25 16:00:00+00:00,0.002959,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:27:07.770549+00:00
2025-10-25 20:00:00+00:00,-0.001445,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:27:07.770549+00:00
2025-10-26 00:00:00+00:00,0.002347,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:27:07.770549+00:00
2025-10-26 04:00:00+00:00,0.007004,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-26 08:00:00+00:00,0.01,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-26 12:00:00+00:00,0.01,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-26 16:00:00+00:00,0.01,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-26 20:00:00+00:00,0.01,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-27 00:00:00+00:00,0.000223,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-27 04:00:00+00:00,0.007087,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-27 08:00:00+00:00,0.01,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-27 12:00:00+00:00,0.01,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-27 16:00:00+00:00,0.01,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-27 20:00:00+00:00,0.005646,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-28 00:00:00+00:00,-0.00475,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-28 04:00:00+00:00,0.000519,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-28 08:00:00+00:00,-0.017945,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-28 12:00:00+00:00,-0.02042,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-28 16:00:00+00:00,-0.010498,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-28 20:00:00+00:00,-0.008243,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-29 00:00:00+00:00,-0.008474,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-29 04:00:00+00:00,-0.006014,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-29 08:00:00+00:00,0.00871,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-29 12:00:00+00:00,0.01,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-29 16:00:00+00:00,0.007804,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-29 20:00:00+00:00,0.005287,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-30 00:00:00+00:00,-0.000244,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-30 04:00:00+00:00,0.004647,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-30 08:00:00+00:00,0.00549,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-30 12:00:00+00:00,0.001132,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-30 16:00:00+00:00,-0.00541,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-30 20:00:00+00:00,-0.009389,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-31 00:00:00+00:00,0.00229,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-31 04:00:00+00:00,0.00644,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-31 08:00:00+00:00,0.006054,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-31 12:00:00+00:00,0.00668,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
2025-10-31 16:00:00+00:00,0.01,v3,4h,LTC,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:58.878475+00:00
