ts,long_liq,short_liq,net_liq,total_liq,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 04:00:00+00:00,2047.18236,1710.81691,336.36545,3757.99927,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-23T00:26:54.627112+00:00
2025-10-25 08:00:00+00:00,0.0,10113.9784,-10113.9784,10113.9784,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-23T00:26:54.627112+00:00
2025-10-25 12:00:00+00:00,0.0,301.725508,-301.725508,301.725508,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-23T00:26:54.627112+00:00
2025-10-25 16:00:00+00:00,4074.27082,38.4,4035.87082,4112.67082,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-23T00:26:54.627112+00:00
2025-10-25 20:00:00+00:00,0.0,0.0,0.0,0.0,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-23T00:26:54.627112+00:00
2025-10-26 00:00:00+00:00,1186.86663,1725.1694,-538.30277,2912.03603,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-23T00:26:54.627112+00:00
2025-10-26 04:00:00+00:00,58720.292775,0.0,58720.292775,58720.292775,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-24T03:54:44.763045+00:00
2025-10-26 08:00:00+00:00,103830.202278,88.55741,103741.644868,103918.759688,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-24T03:54:44.763045+00:00
2025-10-26 12:00:00+00:00,130687.153823,1755.57284,128931.580983,132442.726663,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-24T03:54:44.763045+00:00
2025-10-26 16:00:00+00:00,710.9166,10874.94134,-10164.02474,11585.85794,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-24T03:54:44.763045+00:00
2025-10-26 20:00:00+00:00,232936.424668,7029.960595,225906.464073,239966.385263,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-24T03:54:44.763045+00:00
2025-10-27 00:00:00+00:00,81844.395104,18830.718595,63013.676509,100675.113699,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-24T03:54:44.763045+00:00
2025-10-27 04:00:00+00:00,70916.035748,45394.3342119,25521.7015361,116310.3699599,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-24T03:54:44.763045+00:00
2025-10-27 08:00:00+00:00,1119.44268,100889.21507997,-99769.77239997,102008.65775997,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-24T03:54:44.763045+00:00
2025-10-27 12:00:00+00:00,499646.13808,7956.7777,491689.36038,507602.91578,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-24T03:54:44.763045+00:00
2025-10-27 16:00:00+00:00,101676.34616082,74717.89063,26958.455530820007,176394.23679082,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-24T03:54:44.763045+00:00
2025-10-27 20:00:00+00:00,304.049,806505.02437,-806200.97537,806809.07337,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-24T03:54:44.763045+00:00
2025-10-28 00:00:00+00:00,2758.97779,33386.79326,-30627.81547,36145.77105,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-25T23:56:13.456497+00:00
2025-10-28 04:00:00+00:00,846066.033623,315974.59125,530091.4423730001,1162040.624873,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-28 08:00:00+00:00,24000.57564,140754.44798141,-116753.87234141,164755.02362141,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-28 12:00:00+00:00,2692.78354,1576642.886045,-1573950.102505,1579335.669585,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-28 16:00:00+00:00,4601.65613,183116.78907995,-178515.13294995,187718.44520994998,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-28 20:00:00+00:00,36425.28322,1063337.30012491,-1026912.01690491,1099762.58334491,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-29 00:00:00+00:00,21.57079,4351.77812,-4330.20733,4373.34891,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-29 04:00:00+00:00,59340.35312,182.25256,59158.10056,59522.60568,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-29 08:00:00+00:00,29.66736,3044.05367,-3014.38631,3073.7210299999997,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-29 12:00:00+00:00,56539.53631,293607.96133,-237068.42502000002,350147.49764,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-29 16:00:00+00:00,34233.66506,839933.65168,-805699.98662,874167.31674,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-29 20:00:00+00:00,95413.09553,34684.94037,60728.15516000001,130098.0359,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-30 00:00:00+00:00,3770.5404,89493.73747,-85723.19707,93264.27786999999,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-30 04:00:00+00:00,12339.35244,655400.76573974,-643061.41329974,667740.11817974,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-30 08:00:00+00:00,19.358,25034.4332,-25015.0752,25053.7912,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-30 12:00:00+00:00,788.12053,2130244.5889974,-2129456.4684674,2131032.7095274,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-30 16:00:00+00:00,2537.15432,1018730.39183099,-1016193.23751099,1021267.54615099,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-30 20:00:00+00:00,22968.71231,2442.64193,20526.070379999997,25411.35424,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-31 00:00:00+00:00,9086.62346,11503.48214,-2416.8586799999994,20590.105600000003,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-31 04:00:00+00:00,5255.50092,1257.88454,3997.6163800000004,6513.38546,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-31 08:00:00+00:00,2888.96958,449.8603,2439.10928,3338.82988,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-31 12:00:00+00:00,16595.76398,378.44,16217.32398,16974.20398,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-31 16:00:00+00:00,131892.46007,206376.09127,-74483.6312,338268.55134,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-10-31 20:00:00+00:00,201563.13996,717.95709,200845.18287,202281.09705,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-11-01 00:00:00+00:00,2828.58751,1095.25974,1733.3277699999999,3923.84725,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-11-01 04:00:00+00:00,219678.9954967,535.28372,219143.7117767,220214.2792167,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-11-01 08:00:00+00:00,27770.6108,7843.38127,19927.229529999997,35613.99207,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-11-01 12:00:00+00:00,43500.37563427,42407.72859,1092.647044270001,85908.10422427,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-11-01 16:00:00+00:00,1208.20905,58.2625,1149.94655,1266.47155,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-11-01 20:00:00+00:00,231866.87325418,11663.79646,220203.07679418,243530.66971418003,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-11-02 00:00:00+00:00,46.93283,23492.2588,-23445.325969999998,23539.19163,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-11-02 04:00:00+00:00,17707.216188,13894.86271,3812.353477999999,31602.078898,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-11-02 08:00:00+00:00,6199.1456,12176.54786,-5977.402260000001,18375.693460000002,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
2025-11-02 12:00:00+00:00,994.37992,254385.71793,-253391.33801,255380.09785000002,v3,4h,LTC,liq,/futures/liquidation/aggregated-history,2026-04-26T00:15:08.181698+00:00
