ts,top_pos_ls_ratio,top_pos_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 04:00:00+00:00,2.96,74.74,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:27:04.643056+00:00
2025-10-25 08:00:00+00:00,2.95,74.67,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:27:04.643056+00:00
2025-10-25 12:00:00+00:00,2.97,74.83,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:27:04.643056+00:00
2025-10-25 16:00:00+00:00,2.98,74.9,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:27:04.643056+00:00
2025-10-25 20:00:00+00:00,2.94,74.63,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:27:04.643056+00:00
2025-10-26 00:00:00+00:00,2.95,74.71,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:27:04.643056+00:00
2025-10-26 04:00:00+00:00,3.02,75.1,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:54:54.959596+00:00
2025-10-26 08:00:00+00:00,2.92,74.47,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:54:54.959596+00:00
2025-10-26 12:00:00+00:00,2.88,74.23,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:54:54.959596+00:00
2025-10-26 16:00:00+00:00,2.95,74.67,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:54:54.959596+00:00
2025-10-26 20:00:00+00:00,2.96,74.73,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:54:54.959596+00:00
2025-10-27 00:00:00+00:00,3.02,75.14,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:54:54.959596+00:00
2025-10-27 04:00:00+00:00,3.12,75.71,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:54:54.959596+00:00
2025-10-27 08:00:00+00:00,3.28,76.61,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:54:54.959596+00:00
2025-10-27 12:00:00+00:00,3.22,76.29,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:54:54.959596+00:00
2025-10-27 16:00:00+00:00,3.12,75.73,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:54:54.959596+00:00
2025-10-27 20:00:00+00:00,2.96,74.73,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:54:54.959596+00:00
2025-10-28 00:00:00+00:00,3.09,75.53,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-25T23:56:22.842642+00:00
2025-10-28 04:00:00+00:00,3.0,74.99,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:16.903524+00:00
2025-10-28 08:00:00+00:00,2.66,72.7,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:16.903524+00:00
2025-10-28 12:00:00+00:00,2.13,68.05,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:16.903524+00:00
2025-10-28 16:00:00+00:00,2.08,67.52,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:16.903524+00:00
2025-10-28 20:00:00+00:00,2.18,68.53,v3,4h,LTC,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:16.903524+00:00
