ts,global_ls_ratio,global_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 00:00:00+00:00,2.35,70.13,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-22T21:20:09.107858+00:00
2025-10-25 04:00:00+00:00,2.27,69.43,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:24:26.552933+00:00
2025-10-25 08:00:00+00:00,2.23,69.07,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:24:26.552933+00:00
2025-10-25 12:00:00+00:00,2.49,71.34,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:24:26.552933+00:00
2025-10-25 16:00:00+00:00,2.44,70.95,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:24:26.552933+00:00
2025-10-25 20:00:00+00:00,2.38,70.39,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:24:26.552933+00:00
2025-10-26 00:00:00+00:00,2.29,69.57,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:24:26.552933+00:00
2025-10-26 04:00:00+00:00,2.38,70.39,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:52:19.816568+00:00
2025-10-26 08:00:00+00:00,2.34,70.02,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:52:19.816568+00:00
2025-10-26 12:00:00+00:00,2.27,69.38,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:52:19.816568+00:00
2025-10-26 16:00:00+00:00,2.07,67.47,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:52:19.816568+00:00
2025-10-26 20:00:00+00:00,2.03,67.03,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:52:19.816568+00:00
2025-10-27 00:00:00+00:00,2.3,69.69,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:52:19.816568+00:00
2025-10-27 04:00:00+00:00,2.19,68.66,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:52:19.816568+00:00
2025-10-27 08:00:00+00:00,2.15,68.24,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:52:19.816568+00:00
2025-10-27 12:00:00+00:00,2.3,69.67,v3,4h,SOL,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:52:19.816568+00:00
