ts,oi_open,oi_high,oi_low,oi_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 00:00:00+00:00,9106089933.0,9181875904.0,9042829361.0,9147581220.0,v3,4h,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-22T21:20:02.612673+00:00
2025-10-25 04:00:00+00:00,9147581220.0,9229951312.0,9147581220.0,9184318669.0,v3,4h,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:24:16.897687+00:00
2025-10-25 08:00:00+00:00,9184318669.0,9265675540.0,9145674128.0,9229608030.0,v3,4h,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:24:16.897687+00:00
2025-10-25 12:00:00+00:00,9229608030.0,9275657904.0,9185037376.0,9258094664.0,v3,4h,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:24:16.897687+00:00
2025-10-25 16:00:00+00:00,9258094664.0,9365528556.0,9258094664.0,9347375285.0,v3,4h,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:24:16.897687+00:00
2025-10-25 20:00:00+00:00,9347375285.0,9377325366.0,9285549823.0,9338646080.0,v3,4h,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:24:16.897687+00:00
2025-10-26 00:00:00+00:00,9338646080.0,9371067362.0,9288141431.0,9345571359.0,v3,4h,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-23T00:24:16.897687+00:00
2025-10-26 04:00:00+00:00,9345571359.0,9414505603.0,9335816653.0,9398948870.0,v3,4h,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:52:12.140925+00:00
2025-10-26 08:00:00+00:00,9398948870.0,9587857213.0,9386761970.0,9587857213.0,v3,4h,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:52:12.140925+00:00
2025-10-26 12:00:00+00:00,9587857213.0,9799234246.0,9587857213.0,9791116032.0,v3,4h,SOL,oi,/futures/openInterest/ohlc-aggregated-history,2026-04-24T03:52:12.140925+00:00
