ts,top_acct_ls_ratio,top_acct_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 00:00:00+00:00,2.86,74.08,v3,4h,SOL,top_acct,/futures/topLongShortAccountRatio/history,2026-04-22T21:20:12.065869+00:00
2025-10-25 04:00:00+00:00,2.84,73.95,v3,4h,SOL,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:24:30.319366+00:00
2025-10-25 08:00:00+00:00,2.79,73.59,v3,4h,SOL,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:24:30.319366+00:00
2025-10-25 12:00:00+00:00,3.1,75.59,v3,4h,SOL,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:24:30.319366+00:00
2025-10-25 16:00:00+00:00,3.06,75.34,v3,4h,SOL,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:24:30.319366+00:00
2025-10-25 20:00:00+00:00,2.91,74.42,v3,4h,SOL,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:24:30.319366+00:00
2025-10-26 00:00:00+00:00,2.84,73.95,v3,4h,SOL,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:24:30.319366+00:00
2025-10-26 04:00:00+00:00,2.95,74.71,v3,4h,SOL,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:52:23.363303+00:00
2025-10-26 08:00:00+00:00,2.88,74.24,v3,4h,SOL,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:52:23.363303+00:00
2025-10-26 12:00:00+00:00,2.71,73.02,v3,4h,SOL,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:52:23.363303+00:00
2025-10-26 16:00:00+00:00,2.45,71.02,v3,4h,SOL,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:52:23.363303+00:00
2025-10-26 20:00:00+00:00,2.44,70.92,v3,4h,SOL,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:52:23.363303+00:00
2025-10-27 00:00:00+00:00,2.67,72.72,v3,4h,SOL,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:52:23.363303+00:00
