ts,top_pos_ls_ratio,top_pos_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 00:00:00+00:00,2.33,69.96,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-22T21:20:14.984035+00:00
2025-10-25 04:00:00+00:00,2.19,68.65,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:33.320281+00:00
2025-10-25 08:00:00+00:00,2.18,68.55,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:33.320281+00:00
2025-10-25 12:00:00+00:00,2.14,68.1,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:33.320281+00:00
2025-10-25 16:00:00+00:00,2.14,68.17,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:33.320281+00:00
2025-10-25 20:00:00+00:00,2.16,68.34,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:33.320281+00:00
2025-10-26 00:00:00+00:00,2.14,68.17,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:33.320281+00:00
2025-10-26 04:00:00+00:00,2.19,68.67,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:26.661506+00:00
2025-10-26 08:00:00+00:00,2.16,68.39,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:26.661506+00:00
2025-10-26 12:00:00+00:00,2.07,67.44,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:26.661506+00:00
2025-10-26 16:00:00+00:00,2.08,67.48,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:26.661506+00:00
2025-10-26 20:00:00+00:00,2.12,67.99,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:26.661506+00:00
2025-10-27 00:00:00+00:00,2.14,68.1,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:26.661506+00:00
2025-10-27 04:00:00+00:00,2.33,69.97,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:26.661506+00:00
2025-10-27 08:00:00+00:00,2.3,69.71,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:26.661506+00:00
2025-10-27 12:00:00+00:00,2.34,70.09,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:26.661506+00:00
2025-10-27 16:00:00+00:00,2.36,70.24,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:26.661506+00:00
2025-10-27 20:00:00+00:00,2.35,70.14,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:26.661506+00:00
2025-10-28 00:00:00+00:00,2.4,70.58,v3,4h,SOL,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:26.661506+00:00
