ts,top_pos_ls_ratio,top_pos_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 04:00:00+00:00,2.6,72.2,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:27:26.426469+00:00
2025-10-25 08:00:00+00:00,2.59,72.12,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:27:26.426469+00:00
2025-10-25 12:00:00+00:00,2.5,71.39,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:27:26.426469+00:00
2025-10-25 16:00:00+00:00,2.42,70.78,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:27:26.426469+00:00
2025-10-25 20:00:00+00:00,2.52,71.61,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:27:26.426469+00:00
2025-10-26 00:00:00+00:00,2.56,71.92,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:27:26.426469+00:00
2025-10-26 04:00:00+00:00,2.67,72.74,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:55:15.364484+00:00
2025-10-26 08:00:00+00:00,2.61,72.28,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:55:15.364484+00:00
2025-10-26 12:00:00+00:00,2.62,72.39,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:55:15.364484+00:00
2025-10-26 16:00:00+00:00,2.75,73.3,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:55:15.364484+00:00
2025-10-26 20:00:00+00:00,2.81,73.73,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:55:15.364484+00:00
2025-10-27 00:00:00+00:00,2.89,74.28,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:55:15.364484+00:00
2025-10-27 04:00:00+00:00,2.78,73.51,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:55:15.364484+00:00
2025-10-27 08:00:00+00:00,2.7,72.99,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:55:15.364484+00:00
2025-10-27 12:00:00+00:00,2.53,71.67,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:55:15.364484+00:00
2025-10-27 16:00:00+00:00,2.5,71.44,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:55:15.364484+00:00
2025-10-27 20:00:00+00:00,2.46,71.06,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:55:15.364484+00:00
2025-10-28 00:00:00+00:00,2.5,71.43,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-25T23:56:40.917843+00:00
2025-10-28 04:00:00+00:00,2.45,70.98,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-28 08:00:00+00:00,2.77,73.47,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-28 12:00:00+00:00,2.69,72.88,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-28 16:00:00+00:00,2.56,71.92,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-28 20:00:00+00:00,2.56,71.91,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-29 00:00:00+00:00,2.42,70.76,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-29 04:00:00+00:00,2.32,69.88,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-29 08:00:00+00:00,2.25,69.27,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-29 12:00:00+00:00,2.27,69.37,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-29 16:00:00+00:00,2.55,71.82,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-29 20:00:00+00:00,2.97,74.82,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-30 00:00:00+00:00,2.98,74.9,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-30 04:00:00+00:00,2.74,73.27,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-30 08:00:00+00:00,2.46,71.06,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-30 12:00:00+00:00,2.32,69.91,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-30 16:00:00+00:00,2.06,67.36,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-30 20:00:00+00:00,2.13,68.04,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-31 00:00:00+00:00,1.8,64.22,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-31 04:00:00+00:00,1.78,64.03,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-31 08:00:00+00:00,1.78,64.07,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-31 12:00:00+00:00,1.87,65.1,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-31 16:00:00+00:00,1.97,66.32,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-10-31 20:00:00+00:00,2.25,69.18,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-01 00:00:00+00:00,2.24,69.13,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-01 04:00:00+00:00,2.36,70.27,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-01 08:00:00+00:00,2.45,71.03,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-01 12:00:00+00:00,2.27,69.42,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-01 16:00:00+00:00,2.32,69.91,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-01 20:00:00+00:00,2.33,70.0,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-02 00:00:00+00:00,2.27,69.46,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-02 04:00:00+00:00,2.37,70.31,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-02 08:00:00+00:00,2.29,69.57,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-02 12:00:00+00:00,2.21,68.83,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-02 16:00:00+00:00,2.26,69.31,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-02 20:00:00+00:00,2.28,69.52,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-03 00:00:00+00:00,2.27,69.38,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-03 04:00:00+00:00,2.34,70.04,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-03 08:00:00+00:00,2.19,68.6,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-03 12:00:00+00:00,2.06,67.27,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-03 16:00:00+00:00,2.17,68.45,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-03 20:00:00+00:00,2.2,68.79,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-04 00:00:00+00:00,2.28,69.47,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-04 04:00:00+00:00,2.08,67.5,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-04 08:00:00+00:00,2.2,68.77,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-04 12:00:00+00:00,2.28,69.49,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-04 16:00:00+00:00,2.26,69.35,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-04 20:00:00+00:00,2.32,69.86,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-05 00:00:00+00:00,2.45,71.05,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-05 04:00:00+00:00,2.35,70.12,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-05 08:00:00+00:00,2.24,69.13,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-05 12:00:00+00:00,2.1,67.74,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-05 16:00:00+00:00,1.97,66.38,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-05 20:00:00+00:00,1.64,62.1,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-06 00:00:00+00:00,1.76,63.73,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
2025-11-06 04:00:00+00:00,2.05,67.18,v3,4h,SUI,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:15:34.781676+00:00
