ts,fr_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 04:00:00+00:00,-0.04109,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:26:47.750703+00:00
2025-10-25 08:00:00+00:00,-0.042593,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:26:47.750703+00:00
2025-10-25 12:00:00+00:00,-0.041801,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:26:47.750703+00:00
2025-10-25 16:00:00+00:00,-0.040321,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:26:47.750703+00:00
2025-10-25 20:00:00+00:00,-0.0312,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:26:47.750703+00:00
2025-10-26 00:00:00+00:00,-0.032133,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:26:47.750703+00:00
2025-10-26 04:00:00+00:00,-0.043703,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-26 08:00:00+00:00,-0.030671,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-26 12:00:00+00:00,-0.025494,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-26 16:00:00+00:00,-0.034155,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-26 20:00:00+00:00,-0.030368,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-27 00:00:00+00:00,-0.030701,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-27 04:00:00+00:00,-0.030169,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-27 08:00:00+00:00,-0.02878,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-27 12:00:00+00:00,-0.029339,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-27 16:00:00+00:00,-0.016425,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-27 20:00:00+00:00,-0.020033,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-28 00:00:00+00:00,-0.028226,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-28 04:00:00+00:00,-0.024836,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-28 08:00:00+00:00,-0.021873,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-28 12:00:00+00:00,-0.010832,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-28 16:00:00+00:00,-0.013143,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-28 20:00:00+00:00,-0.020615,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-29 00:00:00+00:00,-0.013883,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-29 04:00:00+00:00,-0.005124,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-29 08:00:00+00:00,-0.014529,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-29 12:00:00+00:00,-0.011912,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-29 16:00:00+00:00,-0.011545,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-29 20:00:00+00:00,-0.007027,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-30 00:00:00+00:00,0.006992,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-30 04:00:00+00:00,0.01,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-30 08:00:00+00:00,0.002858,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-30 12:00:00+00:00,-0.011794,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-30 16:00:00+00:00,-0.015143,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-30 20:00:00+00:00,-0.00293,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-31 00:00:00+00:00,0.004558,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-31 04:00:00+00:00,0.006809,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-31 08:00:00+00:00,0.003331,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-31 12:00:00+00:00,-0.000688,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-31 16:00:00+00:00,-0.001291,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-10-31 20:00:00+00:00,4.9e-05,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-01 00:00:00+00:00,-0.010637,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-01 04:00:00+00:00,-0.008208,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-01 08:00:00+00:00,-0.006839,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-01 12:00:00+00:00,-0.005375,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-01 16:00:00+00:00,-0.000685,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-01 20:00:00+00:00,-0.000712,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-02 00:00:00+00:00,-0.016761,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-02 04:00:00+00:00,-0.011713,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-02 08:00:00+00:00,-0.01318,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-02 12:00:00+00:00,-0.013179,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-02 16:00:00+00:00,-0.007342,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-02 20:00:00+00:00,0.000292,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-03 00:00:00+00:00,-0.009186,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-03 04:00:00+00:00,-0.014838,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-03 08:00:00+00:00,-0.002531,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-03 12:00:00+00:00,5.7e-05,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-03 16:00:00+00:00,-0.013897,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-03 20:00:00+00:00,-0.029546,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
2025-11-04 00:00:00+00:00,-0.021913,v3,4h,TRX,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:54:37.924537+00:00
