ts,long_liq,short_liq,net_liq,total_liq,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 04:00:00+00:00,349370.64408292,173331.63056,176039.01352292,522702.27464292,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-23T00:24:43.363594+00:00
2025-10-25 08:00:00+00:00,146092.30519,256866.6673075,-110774.3621175,402958.9724975,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-23T00:24:43.363594+00:00
2025-10-25 12:00:00+00:00,2260858.88451302,345216.98377,1915641.90074302,2606075.86828302,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-23T00:24:43.363594+00:00
2025-10-25 16:00:00+00:00,1388077.85797828,236882.607646,1151195.25033228,1624960.4656242798,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-23T00:24:43.363594+00:00
2025-10-25 20:00:00+00:00,6367.80244,104509.24673,-98141.44429,110877.04917,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-23T00:24:43.363594+00:00
2025-10-26 00:00:00+00:00,190018.27918,291990.29581,-101972.01662999995,482008.57499,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-23T00:24:43.363594+00:00
2025-10-26 04:00:00+00:00,60665.96351,1523.08882,59142.874690000004,62189.05233,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-26 08:00:00+00:00,1302449.19203074,346801.61016,955647.58187074,1649250.80219074,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-26 12:00:00+00:00,120228.76632,99246.48234,20982.283979999993,219475.24865999998,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-26 16:00:00+00:00,2827.90988,884355.15389,-881527.2440099999,887183.06377,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-26 20:00:00+00:00,1266569.76534879,391876.01051332,874693.75483547,1658445.7758621098,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-27 00:00:00+00:00,546212.166498,673017.63994165,-126805.47344364994,1219229.80643965,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-27 04:00:00+00:00,586262.92796205,371848.147561,214414.78040104994,958111.07552305,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-27 08:00:00+00:00,46555.72481,951405.97108311,-904850.2462731099,997961.69589311,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-27 12:00:00+00:00,659513.18570769,405179.51523983,254333.67046785995,1064692.7009475199,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-27 16:00:00+00:00,1856747.26606167,579855.34295398,1276891.92310769,2436602.60901565,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-27 20:00:00+00:00,41474.49879,719731.43558664,-678256.93679664,761205.93437664,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-28 00:00:00+00:00,51260.6244,844564.13058003,-793303.5061800301,895824.75498003,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-28 04:00:00+00:00,301867.12534,131823.3511986,170043.77414140003,433690.47653860005,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-28 08:00:00+00:00,56147.73707,150068.49566,-93920.75858999998,206216.23273,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-28 12:00:00+00:00,1186239.47584,1981752.84658491,-795513.3707449101,3167992.32242491,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-28 16:00:00+00:00,495480.30054,801131.576283,-305651.2757429999,1296611.876823,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-28 20:00:00+00:00,250436.32875,4735686.13747448,-4485249.80872448,4986122.46622448,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-29 00:00:00+00:00,168323.202677,74811.94519,93511.257487,243135.147867,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-29 04:00:00+00:00,79047.1892,3105.59768,75941.59151999999,82152.78688,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-29 08:00:00+00:00,381283.87838,131646.01135,249637.86703000002,512929.88973,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-29 12:00:00+00:00,297856.30803,959118.05083814,-661261.7428081399,1256974.35886814,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-29 16:00:00+00:00,667611.0723235,4807529.9366929,-4139918.8643694,5475141.0090164,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-29 20:00:00+00:00,429208.45278,2360560.0291262,-1931351.5763462,2789768.4819062,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-30 00:00:00+00:00,196269.25163,495786.50177811,-299517.25014811,692055.75340811,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-30 04:00:00+00:00,997085.88214,3579377.22808343,-2582291.34594343,4576463.11022343,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-30 08:00:00+00:00,7985.36656,332429.0570695,-324443.6905095,340414.4236295,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-30 12:00:00+00:00,46147.80782,6612383.29662471,-6566235.48880471,6658531.10444471,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-30 16:00:00+00:00,105012.24025,7824032.29515124,-7719020.05490124,7929044.53540124,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-30 20:00:00+00:00,530189.35523,360972.75527569,169216.59995431,891162.11050569,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-31 00:00:00+00:00,609675.21857,91094.89363,518580.32494,700770.1122000001,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-31 04:00:00+00:00,258860.30983328,57032.640544,201827.66928928,315892.95037728,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
2025-10-31 08:00:00+00:00,317442.53891,30841.03657,286601.50234,348283.57548,v3,4h,XRP,liq,/futures/liquidation/aggregated-history,2026-04-24T03:52:37.657379+00:00
