ts,top_pos_ls_ratio,top_pos_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-10-25 04:00:00+00:00,1.44,59.08,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:53.014542+00:00
2025-10-25 08:00:00+00:00,1.41,58.51,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:53.014542+00:00
2025-10-25 12:00:00+00:00,1.44,59.03,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:53.014542+00:00
2025-10-25 16:00:00+00:00,1.47,59.58,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:53.014542+00:00
2025-10-25 20:00:00+00:00,1.5,59.96,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:53.014542+00:00
2025-10-26 00:00:00+00:00,1.56,60.89,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:24:53.014542+00:00
2025-10-26 04:00:00+00:00,1.6,61.46,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:48.164017+00:00
2025-10-26 08:00:00+00:00,1.61,61.73,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:48.164017+00:00
2025-10-26 12:00:00+00:00,1.51,60.15,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:48.164017+00:00
2025-10-26 16:00:00+00:00,1.4,58.38,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:48.164017+00:00
2025-10-26 20:00:00+00:00,1.45,59.2,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:48.164017+00:00
2025-10-27 00:00:00+00:00,1.52,60.32,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:48.164017+00:00
2025-10-27 04:00:00+00:00,1.5,60.06,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:48.164017+00:00
2025-10-27 08:00:00+00:00,1.5,60.04,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:48.164017+00:00
2025-10-27 12:00:00+00:00,1.53,60.44,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:48.164017+00:00
2025-10-27 16:00:00+00:00,1.6,61.5,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:48.164017+00:00
2025-10-27 20:00:00+00:00,1.57,61.11,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:52:48.164017+00:00
2025-10-28 00:00:00+00:00,1.57,61.12,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-25T23:54:32.923278+00:00
2025-10-28 04:00:00+00:00,1.62,61.86,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
2025-10-28 08:00:00+00:00,1.6,61.53,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
2025-10-28 12:00:00+00:00,1.55,60.76,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
2025-10-28 16:00:00+00:00,1.49,59.91,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
2025-10-28 20:00:00+00:00,1.54,60.63,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
2025-10-29 00:00:00+00:00,1.46,59.34,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
2025-10-29 04:00:00+00:00,1.42,58.73,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
2025-10-29 08:00:00+00:00,1.38,57.93,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
2025-10-29 12:00:00+00:00,1.44,59.05,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
2025-10-29 16:00:00+00:00,1.54,60.68,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
2025-10-29 20:00:00+00:00,1.6,61.58,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
2025-10-30 00:00:00+00:00,1.5,60.02,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
2025-10-30 04:00:00+00:00,1.5,60.03,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
2025-10-30 08:00:00+00:00,1.42,58.61,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
2025-10-30 12:00:00+00:00,1.47,59.43,v3,4h,XRP,top_pos,/futures/topLongShortPositionRatio/history,2026-04-26T00:13:31.158166+00:00
