ts,global_ls_ratio,global_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-07-22 06:00:00+00:00,2.79,73.63,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:29:25.099693+00:00
2025-07-22 12:00:00+00:00,3.26,76.51,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:29:25.099693+00:00
2025-07-22 18:00:00+00:00,2.69,72.86,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:29:25.099693+00:00
2025-07-23 00:00:00+00:00,2.67,72.74,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-23T00:29:25.099693+00:00
2025-07-23 06:00:00+00:00,2.99,74.95,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:57:39.039612+00:00
2025-07-23 12:00:00+00:00,3.1,75.61,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:57:39.039612+00:00
2025-07-23 18:00:00+00:00,3.56,78.09,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:57:39.039612+00:00
2025-07-24 00:00:00+00:00,3.54,77.98,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:57:39.039612+00:00
2025-07-24 06:00:00+00:00,3.39,77.2,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:57:39.039612+00:00
2025-07-24 12:00:00+00:00,3.22,76.31,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:57:39.039612+00:00
2025-07-24 18:00:00+00:00,3.27,76.6,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:57:39.039612+00:00
2025-07-25 00:00:00+00:00,3.25,76.48,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-24T03:57:39.039612+00:00
2025-07-25 06:00:00+00:00,3.34,76.96,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-25 12:00:00+00:00,3.35,77.03,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-25 18:00:00+00:00,3.43,77.42,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-26 00:00:00+00:00,3.24,76.4,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-26 06:00:00+00:00,3.16,75.98,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-26 12:00:00+00:00,3.17,75.99,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-26 18:00:00+00:00,3.17,76.03,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-27 00:00:00+00:00,3.26,76.5,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-27 06:00:00+00:00,3.26,76.5,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-27 12:00:00+00:00,2.83,73.87,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-27 18:00:00+00:00,2.91,74.44,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-28 00:00:00+00:00,2.87,74.17,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-28 06:00:00+00:00,2.82,73.82,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-28 12:00:00+00:00,2.89,74.31,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-28 18:00:00+00:00,2.87,74.14,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-29 00:00:00+00:00,2.67,72.74,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-29 06:00:00+00:00,2.99,74.96,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-29 12:00:00+00:00,2.92,74.46,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
2025-07-29 18:00:00+00:00,3.35,77.01,v3,6h,ADA,global_ls,/futures/globalLongShortAccountRatio/history,2026-04-26T00:17:22.704797+00:00
