ts,top_pos_ls_ratio,top_pos_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-07-22 06:00:00+00:00,2.03,66.95,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:30:46.535064+00:00
2025-07-22 12:00:00+00:00,2.1,67.73,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:30:46.535064+00:00
2025-07-22 18:00:00+00:00,2.06,67.29,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:30:46.535064+00:00
2025-07-23 00:00:00+00:00,1.99,66.59,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-23T00:30:46.535064+00:00
2025-07-23 06:00:00+00:00,2.03,67.01,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-23 12:00:00+00:00,2.03,67.0,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-23 18:00:00+00:00,2.05,67.18,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-24 00:00:00+00:00,2.0,66.69,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-24 06:00:00+00:00,1.91,65.66,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-24 12:00:00+00:00,2.05,67.2,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-24 18:00:00+00:00,1.98,66.4,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-25 00:00:00+00:00,1.9,65.47,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-25 06:00:00+00:00,1.87,65.13,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-25 12:00:00+00:00,1.87,65.19,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-25 18:00:00+00:00,1.92,65.75,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-26 00:00:00+00:00,1.97,66.35,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-26 06:00:00+00:00,2.05,67.22,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-26 12:00:00+00:00,1.96,66.18,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-26 18:00:00+00:00,1.99,66.56,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-27 00:00:00+00:00,1.87,65.17,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-27 06:00:00+00:00,1.82,64.55,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-27 12:00:00+00:00,1.8,64.29,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-27 18:00:00+00:00,1.64,62.16,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-28 00:00:00+00:00,1.7,62.93,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-28 06:00:00+00:00,1.78,63.98,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-28 12:00:00+00:00,1.71,63.03,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-28 18:00:00+00:00,2.01,66.8,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-29 00:00:00+00:00,2.06,67.27,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-29 06:00:00+00:00,2.01,66.81,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-29 12:00:00+00:00,1.95,66.09,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-29 18:00:00+00:00,1.85,64.93,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-30 00:00:00+00:00,1.83,64.65,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-30 06:00:00+00:00,1.78,63.97,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-30 12:00:00+00:00,1.77,63.95,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-30 18:00:00+00:00,1.81,64.36,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-31 00:00:00+00:00,1.78,64.02,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-31 06:00:00+00:00,1.77,63.83,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-31 12:00:00+00:00,1.69,62.86,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-07-31 18:00:00+00:00,1.61,61.73,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-01 00:00:00+00:00,1.59,61.39,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-01 06:00:00+00:00,1.67,62.5,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-01 12:00:00+00:00,1.63,62.02,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-01 18:00:00+00:00,1.7,63.01,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-02 00:00:00+00:00,1.63,61.92,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-02 06:00:00+00:00,1.6,61.6,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-02 12:00:00+00:00,1.55,60.85,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-02 18:00:00+00:00,1.61,61.69,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-03 00:00:00+00:00,1.68,62.69,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-03 06:00:00+00:00,1.71,63.09,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-03 12:00:00+00:00,1.65,62.25,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-03 18:00:00+00:00,1.64,62.07,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-04 00:00:00+00:00,1.6,61.49,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-04 06:00:00+00:00,1.49,59.85,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-04 12:00:00+00:00,1.48,59.69,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-04 18:00:00+00:00,1.5,60.05,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-05 00:00:00+00:00,1.57,61.13,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-05 06:00:00+00:00,1.56,60.88,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-05 12:00:00+00:00,1.58,61.24,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-05 18:00:00+00:00,1.6,61.46,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-06 00:00:00+00:00,1.55,60.78,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-06 06:00:00+00:00,1.59,61.39,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-06 12:00:00+00:00,1.56,60.95,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-06 18:00:00+00:00,1.61,61.66,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-07 00:00:00+00:00,1.61,61.68,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-07 06:00:00+00:00,1.66,62.36,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-07 12:00:00+00:00,1.63,61.9,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-07 18:00:00+00:00,1.6,61.59,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-08 00:00:00+00:00,1.6,61.5,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-08 06:00:00+00:00,1.67,62.5,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-08 12:00:00+00:00,1.61,61.62,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-08 18:00:00+00:00,1.76,63.74,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-09 00:00:00+00:00,1.75,63.63,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-09 06:00:00+00:00,1.8,64.28,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-09 12:00:00+00:00,1.75,63.62,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-09 18:00:00+00:00,1.91,65.61,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-10 00:00:00+00:00,2.01,66.79,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-10 06:00:00+00:00,2.03,67.04,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-10 12:00:00+00:00,2.06,67.27,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-10 18:00:00+00:00,2.06,67.31,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-11 00:00:00+00:00,2.05,67.25,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-11 06:00:00+00:00,2.1,67.71,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-11 12:00:00+00:00,2.02,66.83,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-11 18:00:00+00:00,1.99,66.55,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-12 00:00:00+00:00,2.09,67.64,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-12 06:00:00+00:00,2.03,66.97,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-12 12:00:00+00:00,2.02,66.83,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-12 18:00:00+00:00,1.93,65.86,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-13 00:00:00+00:00,1.91,65.63,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-13 06:00:00+00:00,2.0,66.68,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-13 12:00:00+00:00,1.96,66.2,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-13 18:00:00+00:00,2.08,67.49,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-14 00:00:00+00:00,2.28,69.51,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-14 06:00:00+00:00,2.31,69.74,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-14 12:00:00+00:00,2.3,69.65,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-14 18:00:00+00:00,2.34,70.02,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-15 00:00:00+00:00,2.28,69.54,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-15 06:00:00+00:00,2.06,67.27,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-15 12:00:00+00:00,1.91,65.61,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-15 18:00:00+00:00,2.05,67.25,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-16 00:00:00+00:00,2.05,67.2,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-16 06:00:00+00:00,2.06,67.33,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-16 12:00:00+00:00,2.08,67.48,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
2025-08-16 18:00:00+00:00,2.06,67.28,v3,6h,AVAX,top_pos,/futures/topLongShortPositionRatio/history,2026-04-24T03:59:08.133429+00:00
