ts,top_acct_ls_ratio,top_acct_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-07-22 00:00:00+00:00,1.25,55.52,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-22T21:21:11.853762+00:00
2025-07-22 06:00:00+00:00,1.44,58.96,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:28:23.575376+00:00
2025-07-22 12:00:00+00:00,1.37,57.78,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:28:23.575376+00:00
2025-07-22 18:00:00+00:00,1.34,57.19,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:28:23.575376+00:00
2025-07-23 00:00:00+00:00,1.22,55.04,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:28:23.575376+00:00
2025-07-23 06:00:00+00:00,1.22,54.93,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-23 12:00:00+00:00,1.15,53.43,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-23 18:00:00+00:00,1.45,59.18,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-24 00:00:00+00:00,1.44,59.07,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-24 06:00:00+00:00,1.33,57.13,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-24 12:00:00+00:00,1.24,55.4,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-24 18:00:00+00:00,1.21,54.65,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-25 00:00:00+00:00,1.22,55.0,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-25 06:00:00+00:00,1.29,56.24,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-25 12:00:00+00:00,1.24,55.35,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-25 18:00:00+00:00,1.18,54.18,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-26 00:00:00+00:00,1.16,53.75,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-26 06:00:00+00:00,1.2,54.52,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-26 12:00:00+00:00,1.18,54.04,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-26 18:00:00+00:00,1.19,54.27,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-27 00:00:00+00:00,1.12,52.85,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-27 06:00:00+00:00,1.09,52.08,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-27 12:00:00+00:00,1.07,51.59,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-27 18:00:00+00:00,0.96,48.97,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-28 00:00:00+00:00,0.96,48.99,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-28 06:00:00+00:00,1.03,50.8,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-28 12:00:00+00:00,1.0,50.1,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-28 18:00:00+00:00,1.11,52.67,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-29 00:00:00+00:00,1.18,54.12,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-29 06:00:00+00:00,1.1,52.44,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-29 12:00:00+00:00,1.14,53.29,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
2025-07-29 18:00:00+00:00,1.23,55.16,v3,6h,BNB,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:56:22.306405+00:00
