ts,top_acct_ls_ratio,top_acct_long_pct,api_version,interval,symbol,endpoint,path,fetched_at
2025-07-22 00:00:00+00:00,1.11,52.57,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-22T21:20:31.252264+00:00
2025-07-22 06:00:00+00:00,1.12,52.81,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:27:43.441603+00:00
2025-07-22 12:00:00+00:00,0.97,49.32,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:27:43.441603+00:00
2025-07-22 18:00:00+00:00,0.94,48.54,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:27:43.441603+00:00
2025-07-23 00:00:00+00:00,0.87,46.56,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-23T00:27:43.441603+00:00
2025-07-23 06:00:00+00:00,1.0,50.01,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:55:34.246521+00:00
2025-07-23 12:00:00+00:00,1.06,51.36,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:55:34.246521+00:00
2025-07-23 18:00:00+00:00,1.12,52.74,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:55:34.246521+00:00
2025-07-24 00:00:00+00:00,1.09,52.06,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:55:34.246521+00:00
2025-07-24 06:00:00+00:00,1.07,51.76,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:55:34.246521+00:00
2025-07-24 12:00:00+00:00,0.98,49.51,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:55:34.246521+00:00
2025-07-24 18:00:00+00:00,0.98,49.44,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-24T03:55:34.246521+00:00
2025-07-25 00:00:00+00:00,1.0,50.09,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-25T23:56:56.145536+00:00
2025-07-25 06:00:00+00:00,1.4,58.38,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:15:49.412948+00:00
2025-07-25 12:00:00+00:00,1.36,57.68,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:15:49.412948+00:00
2025-07-25 18:00:00+00:00,1.38,58.0,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:15:49.412948+00:00
2025-07-26 00:00:00+00:00,1.25,55.61,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:15:49.412948+00:00
2025-07-26 06:00:00+00:00,1.18,54.16,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:15:49.412948+00:00
2025-07-26 12:00:00+00:00,1.12,52.75,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:15:49.412948+00:00
2025-07-26 18:00:00+00:00,1.06,51.35,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:15:49.412948+00:00
2025-07-27 00:00:00+00:00,1.06,51.37,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:15:49.412948+00:00
2025-07-27 06:00:00+00:00,1.06,51.4,v3,6h,BTC,top_acct,/futures/topLongShortAccountRatio/history,2026-04-26T00:15:49.412948+00:00
