ts,fr_close,api_version,interval,symbol,endpoint,path,fetched_at
2025-07-22 06:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:30:00.713673+00:00
2025-07-22 12:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:30:00.713673+00:00
2025-07-22 18:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:30:00.713673+00:00
2025-07-23 00:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-23T00:30:00.713673+00:00
2025-07-23 06:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:58:24.645613+00:00
2025-07-23 12:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:58:24.645613+00:00
2025-07-23 18:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:58:24.645613+00:00
2025-07-24 00:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:58:24.645613+00:00
2025-07-24 06:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:58:24.645613+00:00
2025-07-24 12:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:58:24.645613+00:00
2025-07-24 18:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:58:24.645613+00:00
2025-07-25 00:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-24T03:58:24.645613+00:00
2025-07-25 06:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:17:56.081854+00:00
2025-07-25 12:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:17:56.081854+00:00
2025-07-25 18:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:17:56.081854+00:00
2025-07-26 00:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:17:56.081854+00:00
2025-07-26 06:00:00+00:00,0.01,v3,6h,DOGE,fr,/futures/fundingRate/ohlc-history,2026-04-26T00:17:56.081854+00:00
