ts,long_liq,short_liq,net_liq,total_liq,api_version,interval,symbol,endpoint,path,fetched_at
2025-07-22 06:00:00+00:00,598414.65443757,1434243.73943481,-835829.0849972399,2032658.39387238,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-23T00:29:43.762959+00:00
2025-07-22 12:00:00+00:00,1322123.85291713,3496466.13417042,-2174342.28125329,4818589.98708755,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-23T00:29:43.762959+00:00
2025-07-22 18:00:00+00:00,1548422.91117,2488399.14789205,-939976.23672205,4036822.0590620497,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-23T00:29:43.762959+00:00
2025-07-23 00:00:00+00:00,79022.171346,657166.83009643,-578144.65875043,736189.0014424301,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-23T00:29:43.762959+00:00
2025-07-23 06:00:00+00:00,368422.604682,4986908.44602112,-4618485.84133912,5355331.05070312,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-23 12:00:00+00:00,1642788.79894345,21703430.57135411,-20060641.77241066,23346219.37029756,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-23 18:00:00+00:00,1387722.60813981,8308980.75502237,-6921258.14688256,9696703.36316218,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-24 00:00:00+00:00,1702424.128256,7403864.59783332,-5701440.46957732,9106288.72608932,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-24 06:00:00+00:00,3159363.29377501,7881168.48452701,-4721805.190752,11040531.77830202,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-24 12:00:00+00:00,2563343.78132714,3201199.17182544,-637855.3904983001,5764542.95315258,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-24 18:00:00+00:00,144390.15428736,2749937.22220075,-2605547.0679133898,2894327.37648811,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-25 00:00:00+00:00,900570.521969,6733825.79519334,-5833255.27322434,7634396.31716234,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-25 06:00:00+00:00,2502447.22195701,1395199.78757601,1107247.4343810002,3897647.00953302,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-25 12:00:00+00:00,406249.52226016,3492900.79359269,-3086651.27133253,3899150.31585285,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-25 18:00:00+00:00,2308108.41360697,11278.51141,2296829.9021969703,2319386.92501697,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-26 00:00:00+00:00,578287.46338446,159897.502513,418389.9608714599,738184.96589746,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-26 06:00:00+00:00,234244.322733,691165.41814799,-456921.09541499,925409.74088099,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-26 12:00:00+00:00,354097.10169005,323598.16329245,30498.938397599966,677695.2649825,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-26 18:00:00+00:00,687901.30888799,398486.155132,289415.15375599,1086387.46401999,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-27 00:00:00+00:00,2772038.51154581,373305.489804,2398733.02174181,3145344.00134981,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-27 06:00:00+00:00,163975.488278,2203208.10939412,-2039232.6211161201,2367183.59767212,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-27 12:00:00+00:00,472783.801041,1032116.67967156,-559332.8786305599,1504900.48071256,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-27 18:00:00+00:00,1074817.27656563,405428.99163193,669388.2849337,1480246.26819756,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-28 00:00:00+00:00,2200230.22253201,874527.91135901,1325702.3111730001,3074758.13389102,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-28 06:00:00+00:00,62758.65755998,1339487.34856092,-1276728.69100094,1402246.0061209,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-28 12:00:00+00:00,278907.81462,5921562.74506836,-5642654.93044836,6200470.55968836,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-28 18:00:00+00:00,211783.887543,5644110.74730538,-5432326.85976238,5855894.63484838,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-29 00:00:00+00:00,834925.98643222,2412455.05439871,-1577529.06796649,3247381.0408309298,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-29 06:00:00+00:00,1025130.3928933,1528865.11141186,-503734.71851855994,2553995.50430516,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-29 12:00:00+00:00,6100438.55138667,6730462.43724209,-630023.8858554196,12830900.98862876,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-29 18:00:00+00:00,253199.0750947,893884.57256384,-640685.49746914,1147083.64765854,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-30 00:00:00+00:00,186619.25539999,676297.87012198,-489678.61472198996,862917.12552197,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-30 06:00:00+00:00,61106.91411,6863649.58577544,-6802542.671665439,6924756.49988544,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-30 12:00:00+00:00,1646742.11912858,756390.35527113,890351.76385745,2403132.47439971,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-30 18:00:00+00:00,3838453.98386744,10728087.87493002,-6889633.89106258,14566541.85879746,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-31 00:00:00+00:00,733971.96540186,44178.36418,689793.6012218599,778150.32958186,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-31 06:00:00+00:00,153555.085471,296505.25156597,-142950.16609497002,450060.33703697,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-31 12:00:00+00:00,335272.844608,5359556.70097324,-5024283.856365239,5694829.54558124,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-07-31 18:00:00+00:00,201107.01430013,9687642.5727045,-9486535.55840437,9888749.58700463,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-01 00:00:00+00:00,3469878.242158,12978295.21179281,-9508416.96963481,16448173.45395081,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-01 06:00:00+00:00,663395.35003999,7790478.37092059,-7127083.0208806,8453873.72096058,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-01 12:00:00+00:00,1647033.65705266,2676321.03585551,-1029287.3788028499,4323354.69290817,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-01 18:00:00+00:00,4730596.88145514,19080217.34283626,-14349620.46138112,23810814.2242914,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-02 00:00:00+00:00,199910.04763402,13076.09088,186833.95675402,212986.13851402001,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-02 06:00:00+00:00,574384.605965,3474978.16910968,-2900593.56314468,4049362.7750746803,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-02 12:00:00+00:00,1111324.30387224,7417021.9040175,-6305697.60014526,8528346.20788974,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-02 18:00:00+00:00,671332.133361,4641607.99815044,-3970275.86478944,5312940.13151144,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-03 00:00:00+00:00,467499.876291,1528795.99106055,-1061296.11476955,1996295.8673515501,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-03 06:00:00+00:00,869537.75222886,217332.06585,652205.68637886,1086869.8180788602,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-03 12:00:00+00:00,728961.69541999,283947.928582,445013.76683798997,1012909.6240019901,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-03 18:00:00+00:00,238493.35993599,55600.25559,182893.10434599,294093.61552599,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-04 00:00:00+00:00,1042230.48395818,501190.95344002,541039.53051816,1543421.4373982,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-04 06:00:00+00:00,347812.38680468,360433.529278,-12621.142473320011,708245.91608268,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-04 12:00:00+00:00,1981871.20388152,672975.0219,1308896.18198152,2654846.22578152,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-04 18:00:00+00:00,943119.17988995,686584.35789899,256534.82199095993,1629703.5377889401,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-05 00:00:00+00:00,65905.77663,623710.41106899,-557804.63443899,689616.18769899,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-05 06:00:00+00:00,1339686.8945142,1630564.78002046,-290877.88550626,2970251.67453466,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-05 12:00:00+00:00,176635.868617,3323077.65441854,-3146441.78580154,3499713.5230355402,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-05 18:00:00+00:00,170892.427308,960114.17903593,-789221.7517279299,1131006.60634393,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-06 00:00:00+00:00,913135.683851,617729.62919434,295406.05465666007,1530865.3130453401,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-06 06:00:00+00:00,300011.416189,155704.73791242,144306.67827658,455716.15410142,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-06 12:00:00+00:00,1428452.24783727,270081.39041012,1158370.85742715,1698533.6382473898,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-06 18:00:00+00:00,153529.54924699,23578.743805,129950.80544199,177108.29305199,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-07 00:00:00+00:00,102630.36128,251756.82710902,-149126.46582902002,354387.18838902,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-07 06:00:00+00:00,3068822.02537205,26341.57412,3042480.4512520498,3095163.59949205,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-07 12:00:00+00:00,751895.72132514,913230.90771505,-161335.18638991006,1665126.62904019,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-07 18:00:00+00:00,4055925.2846088,145170.34013,3910754.9444788,4201095.6247388,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-08 00:00:00+00:00,901645.38890766,556745.90955894,344899.47934872005,1458391.2984666,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-08 06:00:00+00:00,1447619.85538353,195632.44515999,1251987.41022354,1643252.3005435201,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-08 12:00:00+00:00,2206719.46676381,1680984.94062669,525734.5261371199,3887704.4073904995,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-08 18:00:00+00:00,1469242.97337217,179714.269758,1289528.70361417,1648957.24313017,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-09 00:00:00+00:00,2063311.97381039,142445.014448,1920866.95936239,2205756.98825839,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-09 06:00:00+00:00,779804.61212115,49651.02114201,730153.59097914,829455.63326316,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-09 12:00:00+00:00,3282444.48889107,2428542.02268277,853902.4662082996,5710986.51157384,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-09 18:00:00+00:00,569193.405821,987146.70778787,-417953.30196686997,1556340.11360887,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-10 00:00:00+00:00,530757.82396901,881660.89748976,-350903.0735207499,1412418.7214587699,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-10 06:00:00+00:00,707113.15711952,4542062.21711505,-3834949.05999553,5249175.37423457,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-10 12:00:00+00:00,400283.242934,471847.07665754,-71563.83372354001,872130.3195915399,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-10 18:00:00+00:00,119244.96330432,1273886.822893,-1154641.8595886799,1393131.78619732,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-11 00:00:00+00:00,1291363.46754783,460434.46790499,830928.9996428399,1751797.93545282,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-11 06:00:00+00:00,159153.964141,4715333.92264672,-4556179.95850572,4874487.88678772,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-11 12:00:00+00:00,959591.44170203,1950073.60252712,-990482.1608250899,2909665.04422915,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-11 18:00:00+00:00,1114049.68450664,7686758.6580644,-6572708.97355776,8800808.34257104,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-12 00:00:00+00:00,214837.070686,358413.68149298,-143576.61080698,573250.75217898,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-12 06:00:00+00:00,457093.132038,2971333.53801636,-2514240.4059783597,3428426.67005436,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-12 12:00:00+00:00,4760782.99778606,1381300.158163,3379482.83962306,6142083.15594906,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-12 18:00:00+00:00,2003307.06929555,10185171.958793,-8181864.88949745,12188479.02808855,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-13 00:00:00+00:00,1360086.94902657,2049679.82622974,-689592.87720317,3409766.7752563097,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
2025-08-13 06:00:00+00:00,5085346.19918486,697716.00092336,4387630.1982615,5783062.20010822,v3,6h,DOGE,liq,/futures/liquidation/aggregated-history,2026-04-24T03:58:04.144836+00:00
